,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
14,"Census Tract 15, Providence County, Rhode Island",,1642,299,,304,,150,,164,,104,,20,,0,,1541,84,17,60938,1657,996,63,402,358,156,17,996,616,380,3243,1497,428,55,471,236,1706,574,183,471,27,44,7,1500,,,,,92.99939649969825,5.0694025347012674,6.325301204819277,1480.952380952381,38.152610441767074,61.84738955823293,46.16096207215541,53.83903792784459,2019
15,"Census Tract 113.01, Providence County, Rhode Island",,2419,322,,359,,335,,163,,161,,0,,11,,2364,45,0,84150,2435,1819,112,562,762,220,163,1819,1418,401,4796,4410,193,0,0,24,4434,193,24,0,0,44,7,11301,,,,,97.08418891170432,1.8480492813141685,6.157229246838923,1524.107142857143,22.045079714128644,77.95492028587135,91.95162635529609,8.04837364470392,2019
16,"Census Tract 114.01, Providence County, Rhode Island",,4405,659,,693,,657,,343,,393,,18,,16,,4266,104,15,113250,4615,3415,269,756,1568,616,206,3415,2807,608,9131,8640,2,0,343,146,8786,22,126,343,0,44,7,11401,,,,,92.4377031419285,2.2535211267605635,7.877013177159591,1169.5167286245353,17.80380673499268,82.19619326500732,94.62271383200087,5.377286167999125,2019
17,"Census Tract 118, Providence County, Rhode Island",,3195,666,,589,,272,,107,,156,,0,,165,,3128,67,0,47035,3339,2623,255,942,952,336,138,2623,1485,1138,7136,5354,1048,0,164,441,5659,1443,41,210,0,44,7,11800,,,,,93.6807427373465,2.006588799041629,9.721692718261533,928.6274509803923,43.38543652306519,56.61456347693481,75.02802690582959,24.971973094170405,2019
18,"Census Tract 8, Providence County, Rhode Island",,1795,108,,197,,196,,171,,162,,98,,109,,810,221,52,34850,2081,1951,951,834,157,9,0,1951,245,1706,4595,2679,546,93,807,245,2853,690,129,873,41,44,7,800,,,,,38.923594425756846,10.619894281595386,48.744233726294205,105.15247108307044,87.44233726294209,12.557662737057921,58.3025027203482,41.6974972796518,2019
19,"Census Tract 34, Providence County, Rhode Island",,2081,202,,409,,502,,351,,125,,102,,0,,1805,139,39,178235,2272,1806,110,521,934,241,0,1806,1566,240,4510,3986,2,2,353,156,4123,2,2,500,86,44,7,3400,,,,,79.44542253521126,6.117957746478873,6.0908084163898115,1541.8181818181818,13.2890365448505,86.71096345514951,88.38137472283813,11.618625277161861,2019
20,"Census Tract 105.01, Providence County, Rhode Island",48830.0,2110,299,7415.0,271,6045.0,242,3935.0,116,2855.0,145,1875.0,52,2100.0,28,280.0,1927,110,20,57946,2150,1807,198,679,696,175,59,1807,1269,538,4606,3500,685,27,52,186,3677,827,69,63,0,44,7,10501,23.14218009478673,23.614035087719298,18.966480446927374,20.17766497461929,89.62790697674419,5.116279069767442,10.957387935805201,812.6262626262626,29.77310459324848,70.22689540675152,75.98784194528876,24.012158054711247,2019
21,"Census Tract 103, Providence County, Rhode Island",,1637,190,,250,,297,,125,,106,,67,,20,,1572,19,32,37246,1716,1674,351,593,545,134,51,1674,905,769,3786,3016,373,0,0,361,3297,469,86,93,21,44,7,10300,,,,,91.6083916083916,1.1072261072261071,20.967741935483872,376.9230769230769,45.9378733572282,54.0621266427718,79.66191230850502,20.338087691494984,2019
22,"Census Tract 114.02, Providence County, Rhode Island",,2173,337,,537,,262,,9,,119,,30,,27,,2102,50,0,117955,2278,1462,41,262,715,356,88,1462,1384,78,3938,3780,1,0,104,53,3833,1,0,104,8,44,7,11402,,,,,92.2739244951712,2.194907813871817,2.80437756497948,3465.853658536585,5.33515731874145,94.66484268125855,95.98781107160995,4.012188928390046,2019
23,"Census Tract 121.02, Providence County, Rhode Island",50860.0,2216,337,8395.0,298,5435.0,355,7920.0,69,1165.0,48,1130.0,61,2425.0,47,690.0,2159,39,8,54957,2264,1941,127,899,687,202,26,1941,1091,850,4351,3701,193,16,166,35,3736,202,16,192,0,44,7,12102,22.951263537906136,21.77952755905512,21.42688679245283,32.61467889908257,95.36219081272085,1.7226148409893993,6.543019062339001,1428.3464566929133,43.791859866048426,56.20814013395157,85.06090553895656,14.939094461043439,2019
24,"Census Tract 129, Providence County, Rhode Island",,2488,595,,248,,61,,15,,144,,57,,0,,2278,15,93,73684,2515,1994,145,598,914,218,119,1994,1075,919,5069,4859,1,0,91,80,4939,22,21,129,0,44,7,12900,,,,,90.57654075546719,0.5964214711729622,7.2718154463390166,1275.1724137931035,46.08826479438315,53.91173520561685,95.85717103965278,4.142828960347209,2019
25,"Census Tract 135, Providence County, Rhode Island",51640.0,2413,275,5180.0,247,4460.0,394,6550.0,229,5400.0,121,2530.0,121,3285.0,61,2000.0,2108,150,36,65107,2536,1839,132,746,701,213,47,1839,944,895,4654,3267,463,14,403,314,3516,579,26,583,0,44,7,13500,21.400745959386654,18.467432950191572,19.181380417335472,24.02892561983471,83.1230283911672,5.914826498422713,7.177814029363784,1293.1818181818182,48.66775421424687,51.33224578575313,70.19767941555651,29.802320584443486,2019
26,"Census Tract 137.02, Providence County, Rhode Island",,1553,440,,158,,159,,114,,119,,49,,0,,1431,86,15,69821,1580,1115,34,465,378,188,50,1115,772,343,3159,2451,121,0,57,268,2550,317,15,159,128,44,7,13702,,,,,90.56962025316456,5.443037974683544,3.0493273542600896,3179.4117647058824,30.76233183856502,69.23766816143497,77.58784425451091,22.41215574548908,2019
27,"Census Tract 143, Providence County, Rhode Island",,2345,539,,279,,277,,93,,59,,251,,120,,2174,0,9,72273,2421,1990,242,683,780,206,79,1990,1415,575,4997,4140,30,0,587,161,4216,30,0,613,85,44,7,14300,,,,,89.79760429574556,0.0,12.160804020100501,722.314049586777,28.894472361809044,71.10552763819096,82.84970982589553,17.150290174104462,2019
28,"Census Tract 110, Providence County, Rhode Island",,2612,328,,152,,138,,91,,79,,66,,18,,2402,134,11,34944,2633,1861,350,919,414,145,33,1861,441,1420,6024,2601,537,39,0,395,2974,843,61,22,22,44,7,11000,,,,,91.22673756171667,5.089251804025826,18.807092960773776,431.71428571428567,76.30306286942505,23.69693713057496,43.177290836653384,56.822709163346616,2019
29,"Census Tract 117.02, Providence County, Rhode Island",44765.0,2101,330,7600.0,236,4700.0,269,6040.0,269,4705.0,112,1580.0,96,1175.0,85,1380.0,2059,1,41,80179,2154,1499,18,394,659,231,197,1499,1234,265,4209,3835,122,0,72,84,3919,187,0,91,24,44,7,11702,21.306520704426465,21.731448763250885,19.972118959107807,13.245192307692308,95.58960074280408,0.04642525533890436,1.200800533689126,8227.777777777777,17.678452301534357,82.32154769846565,91.11427892611071,8.885721073889286,2019
30,"Census Tract 123, Providence County, Rhode Island",,3607,663,,433,,357,,257,,138,,94,,42,,3510,48,0,60066,3654,2581,94,995,1016,287,189,2581,1815,766,6982,6492,254,1,39,101,6593,342,1,52,0,44,7,12300,,,,,96.05911330049261,1.3136288998357963,3.641999225106548,2645.744680851064,29.678419217357614,70.32158078264239,92.98195359495847,7.018046405041535,2019
31,"Census Tract 125, Providence County, Rhode Island",,2109,240,,118,,416,,90,,102,,17,,33,,2064,19,0,51035,2327,2413,241,1237,708,137,90,2413,1128,1285,4837,4216,224,31,18,135,4351,263,81,64,0,44,7,12500,,,,,88.69789428448647,0.8165019338203695,9.987567343555739,901.2448132780083,53.25321176958143,46.74678823041857,87.16146371718007,12.838536282819929,2019
32,"Census Tract 126.01, Providence County, Rhode Island",29750.0,1599,165,4470.0,204,3775.0,112,2215.0,153,3205.0,43,785.0,86,1385.0,30,110.0,1010,10,28,87969,1785,669,13,175,344,132,5,669,557,112,4379,3576,212,13,352,166,3718,222,65,415,20,44,7,12601,18.60537836147592,22.344173441734416,20.452830188679247,16.82170542635659,56.582633053221286,0.5602240896358543,1.9431988041853512,5046.153846153846,16.741405082212257,83.25859491778775,81.66248001826901,18.33751998173099,2019
33,"Census Tract 127.01, Providence County, Rhode Island",,2314,436,,352,,180,,159,,183,,9,,0,,2244,0,7,96409,2330,1796,233,336,798,351,78,1796,1448,348,4868,4593,68,0,84,2,4595,68,2,84,0,44,7,12701,,,,,96.30901287553648,0.0,12.973273942093542,670.8154506437769,19.37639198218263,80.62360801781738,94.35086277732128,5.649137222678719,2019
34,"Census Tract 128.01, Providence County, Rhode Island",,2255,416,,127,,310,,4,,103,,0,,16,,2222,0,24,66591,2549,2096,192,651,584,418,251,2096,1508,588,5579,5318,238,0,0,23,5341,261,0,0,0,44,7,12801,,,,,87.171439780306,0.0,9.16030534351145,991.6666666666666,28.053435114503817,71.94656488549617,95.32174224771465,4.678257752285356,2019
