"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 107.01, Providence County, Rhode Island","","1191","244","","103","","99","","125","","86","","25","","0","","1171","0","20","83958","1196","977","27","335","455","126","34","977","784","193","2370","2162","18","0","35","108","2247","65","24","96","0","44","007","010701"
"Census Tract 128.02, Providence County, Rhode Island","","1144","174","","91","","165","","67","","35","","38","","0","","1130","0","14","81034","1203","910","52","244","377","170","67","910","711","199","2305","2200","0","0","69","14","2214","10","0","69","0","44","007","012802"
"Census Tract 132.01, Providence County, Rhode Island","","2473","537","","347","","288","","172","","177","","0","","73","","2375","74","0","101824","2638","1786","82","465","571","340","328","1786","1530","256","4930","4825","0","0","43","62","4871","16","62","43","0","44","007","013201"
"Census Tract 1.01, Providence County, Rhode Island","48635","1961","279","9250","178","3100","156","2970","121","2750","85","1840","163","3260","69","785","1580","161","22","39327","2078","1312","112","733","246","200","21","1312","510","802","5247","3132","867","0","291","227","3283","999","0","362","56","44","007","000101"
"Census Tract 16, Providence County, Rhode Island","","4189","442","","430","","764","","117","","375","","215","","88","","3789","197","72","53048","4263","2403","226","1020","801","288","68","2403","995","1408","8428","3744","771","251","409","310","3902","902","294","545","50","44","007","001600"
"Census Tract 22, Providence County, Rhode Island","","1796","102","","287","","216","","12","","65","","49","","43","","1560","88","35","36786","1881","1416","264","549","563","22","18","1416","292","1124","4606","2721","921","27","191","214","2909","1093","106","203","0","44","007","002200"
"Census Tract 25, Providence County, Rhode Island","","1627","196","","237","","317","","119","","76","","58","","13","","1305","65","74","62237","1739","1342","123","657","510","52","0","1342","306","1036","2924","1955","422","0","194","75","2009","457","23","220","0","44","007","002500"
"Census Tract 31, Providence County, Rhode Island","","1847","113","","289","","230","","258","","276","","79","","18","","1291","142","0","31642","1895","2150","753","998","283","86","30","2150","466","1684","4151","2763","802","36","67","316","3040","846","75","339","0","44","007","003100"
"Census Tract 33, Providence County, Rhode Island","","2208","282","","281","","403","","241","","278","","55","","25","","1761","354","0","89013","2397","1908","102","828","807","154","17","1908","1201","707","4365","3425","302","9","290","259","3684","465","44","363","17","44","007","003300"
"Census Tract 35, Providence County, Rhode Island","","2647","338","","609","","234","","203","","279","","137","","37","","1719","234","0","60734","2778","2236","321","1284","456","136","39","2236","664","1572","4837","3653","128","0","832","179","3768","192","15","980","0","44","007","003500"
"Census Tract 36.01, Providence County, Rhode Island","","1281","47","","121","","176","","196","","125","","164","","59","","501","65","11","49792","1345","768","240","363","116","26","23","768","181","587","2425","1635","84","0","531","116","1741","101","9","599","4","44","007","003601"
"Census Tract 37, Providence County, Rhode Island","","1599","122","","141","","234","","224","","368","","84","","87","","737","226","19","50563","1711","1624","525","761","268","70","0","1624","480","1144","3151","2100","245","17","571","140","2214","321","36","625","0","44","007","003700"
"Census Tract 101.01, Providence County, Rhode Island","","2382","337","","357","","272","","209","","251","","40","","15","","2301","35","46","79457","2479","1654","34","594","698","239","89","1654","1236","418","4180","3920","78","0","0","124","4015","180","20","0","0","44","007","010101"
"Census Tract 5, Providence County, Rhode Island","","1140","202","","93","","285","","15","","85","","0","","96","","963","105","0","25757","1154","1081","297","537","138","109","0","1081","354","727","3283","1318","1218","76","28","67","1364","1264","76","28","0","44","007","000500"
