Unnamed: 0,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
15,"Census Tract 15, Providence County, Rhode Island",,1358,144,,213,,123,,98,,73,,94,,71,,1222,101,28,50871,1363,1031,78,409,403,77,64,1031,597,434,3033,1136,553,122,391,37,1154,590,131,407,0,44,7,1500,,,,,89.65517241379311,7.410124724871607,7.565470417070805,1221.7948717948718,42.09505334626576,57.90494665373424,37.45466534784042,62.54533465215958,2010
16,"Census Tract 16, Providence County, Rhode Island",,3385,599,,259,,344,,3,,168,,130,,55,,2806,471,39,34430,3429,2355,543,964,664,130,54,2355,666,1689,8044,2450,849,0,409,250,2557,917,53,502,0,44,7,1600,,,,,81.83143773694955,13.73578302712161,23.05732484076433,333.70165745856355,71.71974522292993,28.280254777070063,30.457483838886123,69.54251616111388,2010
17,"Census Tract 17, Providence County, Rhode Island",,1362,181,,127,,147,,82,,45,,59,,0,,1248,60,0,39194,1388,1276,168,617,368,21,102,1276,603,673,4005,1719,419,0,54,282,1968,471,23,66,20,44,7,1700,,,,,89.9135446685879,4.322766570605188,13.166144200626958,659.5238095238095,52.74294670846395,47.25705329153605,42.921348314606746,57.07865168539325,2010
18,"Census Tract 18, Providence County, Rhode Island",,2352,196,,106,,69,,28,,100,,102,,0,,2114,196,14,35427,2367,2174,330,915,804,125,0,2174,892,1282,7008,2216,845,55,793,472,2645,904,303,793,0,44,7,1800,,,,,89.3113645965357,8.280523869877483,15.179392824287028,558.7878787878788,58.96964121435144,41.03035878564857,31.621004566210047,68.37899543378995,2010
19,"Census Tract 19, Providence County, Rhode Island",,2224,378,,88,,218,,59,,65,,66,,42,,1763,312,0,32795,2263,1719,412,812,399,71,25,1719,412,1307,5054,1073,848,141,280,656,1553,1504,491,280,0,44,7,1900,,,,,77.90543526292531,13.7870083959346,23.9674229203025,317.2330097087379,76.03257707969749,23.9674229203025,21.23070834982192,78.76929165017808,2010
20,"Census Tract 20, Providence County, Rhode Island",,2486,257,,329,,244,,99,,170,,90,,67,,2165,131,22,26282,2584,2011,504,833,455,147,72,2011,697,1314,6214,3283,1329,0,135,246,3467,1447,86,147,13,44,7,2000,,,,,83.78482972136223,5.069659442724459,25.06215813028344,299.0079365079365,65.34062655395326,34.65937344604674,52.83231412938526,47.16768587061474,2010
21,"Census Tract 21.01, Providence County, Rhode Island",,1164,163,,129,,201,,0,,91,,23,,45,,1106,58,0,44971,1347,999,87,423,379,88,22,999,615,384,2704,1219,759,47,0,55,1244,789,102,0,0,44,7,2101,,,,,82.10838901262065,4.305864884929473,8.708708708708707,1048.2758620689656,38.43843843843844,61.56156156156156,45.08136094674556,54.91863905325444,2010
22,"Census Tract 21.02, Providence County, Rhode Island",,2108,96,,359,,198,,79,,84,,18,,60,,2052,11,13,38750,2210,1691,223,700,417,237,114,1691,867,824,5064,2743,1085,0,0,134,2790,1189,76,0,0,44,7,2102,,,,,92.85067873303169,0.4977375565610859,13.187463039621525,658.2959641255605,48.72856298048492,51.27143701951508,54.16666666666666,45.83333333333333,2010
23,"Census Tract 22, Providence County, Rhode Island",,1630,169,,178,,221,,78,,68,,38,,9,,1433,88,32,29828,1703,1565,270,759,394,94,48,1565,451,1114,4967,1950,999,199,149,252,2102,1220,216,149,0,44,7,2200,,,,,84.14562536699941,5.167351732237228,17.252396166134183,479.6296296296297,71.18210862619809,28.81789137380192,39.25911012683713,60.74088987316287,2010
24,"Census Tract 23, Providence County, Rhode Island",,2363,168,,366,,376,,161,,162,,26,,6,,1960,213,0,53922,2458,1883,217,695,665,109,197,1883,988,895,5629,4169,527,0,89,147,4304,628,16,89,0,44,7,2300,,,,,79.73962571196095,8.665581773799836,11.524163568773234,767.741935483871,47.53053637812002,52.46946362187997,74.06288861254218,25.937111387457808,2010
