"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 145.01, Providence County, Rhode Island","","2638","319","","441","","457","","192","","309","","66","","11","","2607","11","20","114444","2766","1638","30","288","710","397","213","1638","1610","28","5101","4772","205","0","109","0","4772","205","0","109","0","44","007","014501"
"Census Tract 155, Providence County, Rhode Island","","1876","131","","329","","214","","64","","34","","35","","13","","1722","72","0","49407","1926","1470","164","551","535","196","24","1470","798","672","4111","2892","418","5","63","159","3034","558","24","63","0","44","007","015500"
"Census Tract 159, Providence County, Rhode Island","","1662","121","","279","","73","","91","","66","","16","","5","","1526","40","0","58125","1728","1244","84","511","442","143","64","1244","474","770","3429","2288","746","12","0","142","2376","810","36","54","0","44","007","015900"
"Census Tract 2, Providence County, Rhode Island","","2195","356","","34","","308","","95","","183","","144","","24","","1677","346","26","22875","2281","2057","544","1011","453","49","0","2057","436","1621","6651","2053","1542","153","348","374","2409","1806","172","366","29","44","007","000200"
"Census Tract 3, Providence County, Rhode Island","","2696","213","","454","","392","","207","","199","","63","","0","","2323","259","87","29130","2730","2081","466","1030","401","166","18","2081","527","1554","6165","2260","1308","210","107","115","2375","1357","210","108","0","44","007","000300"
"Census Tract 184, Providence County, Rhode Island","55520","2499","515","11035","222","4445","252","5065","91","2095","103","1650","78","1250","0","-666666666","2434","53","0","52391","2536","2564","457","957","805","284","61","2564","1452","1112","5587","4498","464","44","465","114","4584","499","82","482","0","44","007","018400"
"Census Tract 176, Providence County, Rhode Island","","1006","73","","52","","130","","4","","100","","19","","24","","882","32","45","34573","1028","978","168","406","308","65","31","978","241","737","2698","1682","487","18","240","111","1782","583","27","240","0","44","007","017600"
"Census Tract 177, Providence County, Rhode Island","","1920","105","","231","","152","","91","","213","","82","","14","","1803","28","75","58182","1935","1486","40","532","743","106","65","1486","1059","427","3744","3144","149","0","366","37","3181","159","0","393","0","44","007","017700"
"Census Tract 183, Providence County, Rhode Island","","740","19","","51","","86","","15","","28","","44","","0","","668","9","41","27204","769","739","156","383","115","67","18","739","115","624","1954","1522","284","0","22","122","1644","401","0","22","0","44","007","018300"
"Census Tract 1.02, Providence County, Rhode Island","49055","2061","112","3595","276","7290","270","3285","86","1715","133","2150","55","390","0","-666666666","1881","174","0","34297","2180","1702","169","896","556","66","15","1702","966","736","4922","1913","979","48","571","181","1986","1151","84","571","24","44","007","000102"
"Census Tract 6, Providence County, Rhode Island","","530","39","","89","","76","","20","","20","","25","","10","","370","66","13","25556","554","512","76","269","105","44","18","512","130","382","2022","631","958","0","117","87","688","1037","0","121","7","44","007","000600"
"Census Tract 7, Providence County, Rhode Island","","762","113","","39","","43","","50","","34","","17","","17","","581","92","19","15259","767","994","447","327","205","15","0","994","76","918","2614","652","1119","13","11","95","684","1187","54","11","0","44","007","000700"
"Census Tract 12, Providence County, Rhode Island","","1212","163","","72","","213","","34","","101","","75","","11","","880","136","87","21118","1242","1157","312","663","146","27","9","1157","177","980","3220","1201","715","0","0","29","1227","740","14","0","0","44","007","001200"
"Census Tract 14, Providence County, Rhode Island","","2867","252","","88","","312","","242","","157","","80","","34","","2498","281","39","42232","2915","1984","414","959","424","84","103","1984","392","1592","6830","1989","1107","142","1249","151","2064","1242","202","1249","0","44","007","001400"
"Census Tract 23, Providence County, Rhode Island","","2363","283","","323","","229","","330","","158","","129","","73","","2064","108","41","49578","2469","1799","125","593","781","259","41","1799","981","818","4629","3918","316","0","183","35","3953","324","12","198","0","44","007","002300"
"Census Tract 26, Providence County, Rhode Island","","1131","160","","111","","249","","0","","38","","56","","10","","1023","80","0","24234","1131","1235","289","557","306","58","25","1235","246","989","3306","909","1031","165","330","144","990","1170","170","393","0","44","007","002600"
"Census Tract 36.02, Providence County, Rhode Island","","2033","62","","106","","173","","96","","275","","172","","136","","562","55","18","79167","2235","632","101","262","184","67","18","632","293","339","5544","4138","356","9","707","180","4284","385","35","829","40","44","007","003602"
"Census Tract 108, Providence County, Rhode Island","","1814","224","","49","","109","","27","","56","","110","","30","","1487","156","33","25377","1851","1679","447","740","430","62","0","1679","380","1299","4710","2593","903","92","29","175","2637","1034","107","29","0","44","007","010800"
"Census Tract 113.02, Providence County, Rhode Island","","2403","298","","398","","297","","253","","185","","17","","32","","2227","41","47","95234","2492","1487","36","289","685","324","153","1487","1391","96","4273","4124","0","7","29","64","4169","19","52","29","0","44","007","011302"
"Census Tract 117.01, Providence County, Rhode Island","","2104","321","","311","","288","","76","","157","","38","","61","","2014","45","45","47841","2105","1895","109","819","683","178","106","1895","1097","798","4757","4395","149","0","112","88","4483","149","0","124","0","44","007","011701"
"Census Tract 124.01, Providence County, Rhode Island","65260","3694","449","9615","392","6980","443","6780","320","5940","407","6850","55","1490","49","1010","3677","1","0","57370","3725","2789","115","1216","1004","303","151","2789","1963","826","7068","6227","195","0","259","383","6535","334","246","283","0","44","007","012401"
"Census Tract 152, Providence County, Rhode Island","","695","49","","55","","39","","0","","23","","19","","12","","637","36","0","12676","695","1546","935","477","125","9","0","1546","183","1363","2464","1347","521","0","16","69","1356","574","7","16","13","44","007","015200"
"Census Tract 153, Providence County, Rhode Island","","871","86","","95","","73","","13","","68","","25","","23","","789","51","0","30595","884","930","142","448","266","58","16","930","300","630","2206","1527","447","0","0","44","1557","491","20","5","0","44","007","015300"
"Census Tract 158, Providence County, Rhode Island","","1677","169","","332","","146","","116","","48","","0","","21","","1624","27","0","54627","1705","1381","54","549","551","149","78","1381","1001","380","3564","3227","76","0","26","35","3247","76","15","46","0","44","007","015800"
"Census Tract 167, Providence County, Rhode Island","","1362","245","","63","","128","","130","","80","","0","","17","","1128","106","9","34577","1362","1164","277","486","334","59","8","1164","327","837","3308","2048","559","17","15","298","2231","753","157","38","39","44","007","016700"
"Census Tract 175, Providence County, Rhode Island","","1690","132","","219","","129","","126","","91","","23","","10","","1596","33","61","49104","1728","1408","157","547","538","125","41","1408","688","720","3299","2847","73","9","135","196","3014","163","38","180","0","44","007","017500"
"Census Tract 29, Providence County, Rhode Island","","2949","325","","343","","572","","45","","108","","95","","22","","2637","102","88","41776","3030","2723","409","1152","818","209","135","2723","1308","1415","6785","3170","1996","0","1","562","3390","2478","29","15","317","44","007","002900"
"Census Tract 11, Providence County, Rhode Island","","1310","133","","205","","148","","165","","108","","72","","70","","860","105","0","42083","1374","1048","285","452","252","21","38","1048","249","799","2372","1752","98","0","123","70","1789","165","29","123","0","44","007","001100"
"Census Tract 131.02, Providence County, Rhode Island","84965","2868","496","15290","378","10760","273","6965","83","1565","262","4660","80","1825","0","-666666666","2831","31","6","84713","2960","1880","32","348","967","353","180","1880","1785","95","5095","4999","9","0","20","48","5036","20","12","45","0","44","007","013102"
"Census Tract 104, Providence County, Rhode Island","73770","3118","311","13910","439","6240","285","5455","170","3025","245","3955","32","385","47","840","2732","311","56","49895","3118","2725","318","1309","877","211","10","2725","1108","1617","6703","5210","578","11","28","649","5406","1104","132","45","0","44","007","010400"
"Census Tract 105.02, Providence County, Rhode Island","","2192","304","","517","","252","","191","","135","","66","","12","","2103","13","20","51568","2192","2124","229","920","808","167","0","2124","1088","1036","5019","3786","454","0","553","196","3945","491","5","707","0","44","007","010502"
"Census Tract 107.01, Providence County, Rhode Island","","1012","162","","194","","88","","71","","70","","33","","0","","1004","0","8","59583","1056","916","35","395","347","93","46","916","688","228","2247","2189","36","22","0","0","2189","36","22","0","0","44","007","010701"
"Census Tract 128.02, Providence County, Rhode Island","","1187","166","","138","","173","","99","","48","","38","","21","","1146","14","27","69712","1218","923","44","290","376","160","53","923","665","258","2334","2279","13","6","31","5","2284","18","6","31","0","44","007","012802"
