"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 144, Providence County, Rhode Island","","1844","275","","150","","398","","146","","153","","28","","0","","","","","1800","44","0","75089","44","007","014400"
"Census Tract 170, Providence County, Rhode Island","","2005","330","","337","","190","","104","","76","","35","","6","","","","","1919","28","6","57161","44","007","017000"
"Census Tract 406, Newport County, Rhode Island","","2297","353","","271","","494","","139","","170","","15","","59","","39460","7575","805","1829","163","15","58798","44","005","040600"
"Census Tract 407, Newport County, Rhode Island","","2055","220","","350","","320","","127","","238","","97","","27","","","","","1604","18","159","86417","44","005","040700"
"Census Tract 409, Newport County, Rhode Island","","2346","210","","298","","389","","190","","309","","164","","26","","","","","1968","51","29","76250","44","005","040900"
"Census Tract 410, Newport County, Rhode Island","","1001","151","","153","","66","","107","","77","","43","","14","","","","","744","0","12","53750","44","005","041000"
"Census Tract 412, Newport County, Rhode Island","","904","183","","75","","55","","22","","13","","4","","11","","","","","404","35","81","35602","44","005","041200"
"Census Tract 414, Newport County, Rhode Island","43540","1477","288","7015","164","4045","210","5615","66","2115","105","1380","56","820","25","630","","","","1358","9","26","78370","44","005","041400"
"Census Tract 416.02, Newport County, Rhode Island","","2214","517","","307","","228","","150","","117","","29","","22","","","","","2166","29","0","75838","44","005","041602"
"Census Tract 408, Newport County, Rhode Island","","1078","103","","120","","69","","68","","252","","44","","12","","","","","775","15","43","52813","44","005","040800"
"Census Tract 401.02, Newport County, Rhode Island","","2669","321","","362","","466","","189","","160","","191","","13","","","","","2569","45","37","97308","44","005","040102"
"Census Tract 403.03, Newport County, Rhode Island","","1565","270","","176","","231","","48","","139","","36","","12","","","","","1469","66","13","53182","44","005","040303"
"Census Tract 401.01, Newport County, Rhode Island","","2338","201","","319","","356","","148","","76","","63","","48","","","","","2180","24","30","64864","44","005","040101"
"Census Tract 402, Newport County, Rhode Island","","706","108","","63","","68","","57","","71","","13","","0","","","","","657","6","0","63272","44","005","040200"
"Census Tract 403.04, Newport County, Rhode Island","","1321","170","","131","","113","","134","","173","","62","","9","","","","","1138","39","16","60811","44","005","040304"
"Census Tract 401.03, Newport County, Rhode Island","","2728","290","","435","","502","","355","","160","","51","","71","","","","","2503","51","23","72264","44","005","040103"
"Census Tract 405, Newport County, Rhode Island","","2116","336","","209","","186","","131","","117","","70","","16","","32520","2265","2895","1736","68","71","33894","44","005","040500"
"Census Tract 413, Newport County, Rhode Island","","2518","425","","398","","382","","103","","253","","26","","114","","","","","2365","31","0","95175","44","005","041300"
"Census Tract 416.01, Newport County, Rhode Island","","1459","115","","137","","212","","28","","157","","16","","0","","31695","-666666666","2000","1422","0","37","52325","44","005","041601"
"Census Tract 404, Newport County, Rhode Island","57645","2861","247","5955","264","3705","453","6705","267","4660","267","4780","102","1430","60","465","","","","2776","9","30","74205","44","005","040400"
"Census Tract 403.02, Newport County, Rhode Island","","1223","217","","100","","209","","85","","70","","2","","20","","","","","1159","18","0","58009","44","005","040302"
"Census Tract 411, Newport County, Rhode Island","","628","65","","84","","140","","24","","78","","6","","7","","","","","489","5","10","61625","44","005","041100"
"Census Tract 203, Kent County, Rhode Island","","2912","364","","251","","343","","247","","72","","23","","62","","59025","1740","-666666666","2819","32","0","31811","44","003","020300"
"Census Tract 209.01, Kent County, Rhode Island","43490","1861","142","3780","286","6405","178","4555","306","3835","83","1850","150","2115","0","-666666666","","","","1596","75","42","58816","44","003","020901"
"Census Tract 205, Kent County, Rhode Island","","1810","244","","275","","258","","28","","98","","31","","19","","","","","1721","77","0","53176","44","003","020500"
