"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 509.02, Washington County, Rhode Island","","2380","344","","383","","368","","114","","75","","34","","83","","57955","-666666666","-666666666","2380","0","0","76940","44","009","050902"
"Census Tract 513.04, Washington County, Rhode Island","","935","132","","184","","104","","98","","68","","17","","5","","","","","921","9","0","78676","44","009","051304"
"Census Tract 511.01, Washington County, Rhode Island","","2194","241","","188","","268","","85","","168","","49","","12","","","","","2141","10","17","76949","44","009","051101"
"Census Tract 513.02, Washington County, Rhode Island","","1780","415","","239","","201","","152","","130","","26","","23","","","","","1714","44","9","70750","44","009","051302"
"Census Tract 514, Washington County, Rhode Island","","1838","145","","63","","134","","103","","128","","92","","21","","30425","1930","1180","1114","53","9","30625","44","009","051400"
"Census Tract 501.02, Washington County, Rhode Island","","1147","180","","142","","269","","56","","93","","20","","4","","","","","1110","9","0","88661","44","009","050102"
"Census Tract 507, Washington County, Rhode Island","139530","4583","912","27430","533","11120","480","14860","213","5155","130","3485","55","1675","72","1165","","","","4492","25","12","70413","44","009","050700"
"Census Tract 508.01, Washington County, Rhode Island","","2779","286","","216","","323","","471","","131","","93","","85","","","","","2459","81","0","46203","44","009","050801"
"Census Tract 510, Washington County, Rhode Island","","527","46","","47","","53","","46","","75","","42","","16","","","","","475","10","12","80121","44","009","051000"
"Census Tract 509.01, Washington County, Rhode Island","64125","3006","483","10535","358","6150","367","7115","221","3100","117","2925","46","945","45","690","","","","2965","12","0","60398","44","009","050901"
"Census Tract 503.02, Washington County, Rhode Island","","1215","179","","185","","209","","87","","118","","44","","0","","","","","1093","47","17","83254","44","009","050302"
"Census Tract 210.01, Kent County, Rhode Island","","1252","174","","143","","181","","66","","10","","16","","7","","25380","780","-666666666","1218","16","0","62500","44","003","021001"
"Census Tract 210.02, Kent County, Rhode Island","","2863","280","","470","","362","","386","","125","","131","","13","","","","","2786","52","13","56125","44","003","021002"
"Census Tract 9800, Kent County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","003","980000"
"Census Tract 417.01, Newport County, Rhode Island","","1516","348","","260","","159","","68","","93","","25","","0","","40870","-666666666","-666666666","1516","0","0","63885","44","005","041701"
"Census Tract 25, Providence County, Rhode Island","44365","1632","111","2580","234","4960","348","9385","74","785","189","2015","171","5085","46","1280","","","","1241","175","16","58304","44","007","002500"
"Census Tract 31, Providence County, Rhode Island","","1833","261","","125","","305","","115","","466","","56","","39","","","","","1137","203","0","23972","44","007","003100"
"Census Tract 33, Providence County, Rhode Island","","2268","254","","318","","393","","269","","276","","63","","38","","","","","1872","264","19","77257","44","007","003300"
"Census Tract 35, Providence County, Rhode Island","65220","2787","347","5605","293","10245","709","15040","230","6250","510","12405","219","3205","57","695","","","","1940","231","0","50875","44","007","003500"
"Census Tract 36.01, Providence County, Rhode Island","","1356","46","","103","","286","","153","","194","","49","","30","","","","","464","76","0","39188","44","007","003601"
"Census Tract 37, Providence County, Rhode Island","","1711","70","","120","","192","","275","","339","","25","","61","","15870","6615","3640","830","141","26","44427","44","007","003700"
"Census Tract 101.01, Providence County, Rhode Island","","2133","207","","391","","260","","138","","137","","58","","0","","","","","2064","27","23","71544","44","007","010101"
"Census Tract 101.02, Providence County, Rhode Island","","1720","313","","455","","257","","187","","41","","40","","0","","","","","1669","23","19","56620","44","007","010102"
"Census Tract 106, Providence County, Rhode Island","","2871","531","","230","","309","","229","","173","","85","","0","","","","","2729","59","0","46101","44","007","010600"
"Census Tract 112, Providence County, Rhode Island","","3040","483","","333","","241","","194","","66","","42","","0","","","","","2778","156","55","47317","44","007","011200"
"Census Tract 116, Providence County, Rhode Island","","2554","456","","401","","469","","293","","137","","12","","0","","","","","2462","59","33","88560","44","007","011600"
"Census Tract 120, Providence County, Rhode Island","","2981","558","","558","","324","","203","","91","","173","","27","","","","","2719","167","17","64360","44","007","012000"
"Census Tract 127.02, Providence County, Rhode Island","","2141","282","","350","","356","","96","","77","","78","","9","","","","","2103","17","8","68656","44","007","012702"
"Census Tract 128.03, Providence County, Rhode Island","","2448","341","","125","","424","","191","","224","","41","","6","","","","","2374","18","35","92306","44","007","012803"
"Census Tract 134, Providence County, Rhode Island","44800","1888","255","7795","363","6195","258","4715","192","3205","198","4485","49","1045","35","440","","","","1643","134","63","67540","44","007","013400"
"Census Tract 141, Providence County, Rhode Island","","1922","228","","232","","203","","127","","165","","91","","0","","40230","3375","-666666666","1811","57","0","36032","44","007","014100"
"Census Tract 145.02, Providence County, Rhode Island","","1937","345","","296","","208","","76","","172","","16","","29","","","","","1873","39","3","55765","44","007","014502"
"Census Tract 161, Providence County, Rhode Island","","1982","309","","104","","139","","27","","148","","63","","17","","","","","1761","81","28","31236","44","007","016100"
"Census Tract 165, Providence County, Rhode Island","","1923","341","","262","","254","","167","","73","","57","","7","","","","","1797","75","9","56131","44","007","016500"
"Census Tract 173, Providence County, Rhode Island","","1453","235","","136","","60","","81","","100","","16","","13","","","","","1391","0","44","50000","44","007","017300"
"Census Tract 185, Providence County, Rhode Island","","1248","164","","170","","69","","25","","90","","63","","20","","","","","1109","1","114","50956","44","007","018500"
"Census Tract 4, Providence County, Rhode Island","","1412","137","","112","","184","","66","","138","","24","","9","","19285","3840","2400","1026","128","119","24697","44","007","000400"
"Census Tract 10, Providence County, Rhode Island","","1233","83","","158","","113","","114","","137","","74","","17","","21910","9810","6560","840","215","30","25778","44","007","001000"
"Census Tract 24, Providence County, Rhode Island","59010","3343","446","10295","210","4450","509","7100","242","3060","320","5725","229","4345","17","175","","","","2638","132","5","71731","44","007","002400"
"Census Tract 32, Providence County, Rhode Island","","1871","206","","296","","320","","189","","219","","113","","8","","31065","7405","1970","1473","204","60","79406","44","007","003200"
"Census Tract 136, Providence County, Rhode Island","","1428","212","","149","","136","","40","","144","","44","","7","","","","","1306","18","0","57616","44","007","013600"
"Census Tract 124.02, Providence County, Rhode Island","","1325","222","","197","","119","","87","","156","","37","","0","","","","","1325","0","0","58576","44","007","012402"
"Census Tract 133, Providence County, Rhode Island","87145","2446","440","17750","195","5830","240","9145","115","2925","126","3225","88","3210","52","1330","","","","2423","15","0","79909","44","007","013300"
"Census Tract 148, Providence County, Rhode Island","","2607","488","","302","","509","","175","","174","","45","","3","","","","","2508","37","13","43721","44","007","014800"
"Census Tract 17, Providence County, Rhode Island","","1132","235","","150","","154","","0","","74","","61","","0","","","","","988","69","66","25536","44","007","001700"
"Census Tract 18, Providence County, Rhode Island","","2170","70","","172","","402","","87","","388","","8","","33","","","","","1869","134","167","27361","44","007","001800"
"Census Tract 19, Providence County, Rhode Island","40875","1828","123","1900","169","3390","285","5385","92","1930","156","5260","204","3675","57","775","33930","5250","1050","1586","118","13","23173","44","007","001900"
"Census Tract 20, Providence County, Rhode Island","69260","2720","367","10390","83","1605","311","7055","135","2605","113","2445","233","8265","160","2095","","","","2176","297","50","34485","44","007","002000"
"Census Tract 417.02, Newport County, Rhode Island","","2646","295","","461","","340","","94","","211","","99","","86","","","","","2598","30","0","84803","44","005","041702"
"Census Tract 9900, Newport County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","005","990000"
"Census Tract 21.01, Providence County, Rhode Island","","1482","173","","153","","246","","56","","169","","49","","10","","","","","1436","38","0","50882","44","007","002101"
"Census Tract 21.02, Providence County, Rhode Island","","2252","234","","158","","270","","80","","305","","6","","11","","","","","2010","157","75","47649","44","007","002102"
"Census Tract 119.01, Providence County, Rhode Island","","1568","116","","286","","275","","60","","138","","38","","50","","","","","1536","32","0","50938","44","007","011901"
"Census Tract 119.02, Providence County, Rhode Island","","2269","311","","507","","317","","146","","47","","91","","85","","","","","2228","0","25","57411","44","007","011902"
"Census Tract 121.03, Providence County, Rhode Island","","1435","179","","162","","205","","112","","104","","12","","0","","","","","1375","37","13","46506","44","007","012103"
"Census Tract 121.04, Providence County, Rhode Island","","2126","323","","248","","343","","324","","75","","7","","0","","","","","2066","30","12","42188","44","007","012104"
"Census Tract 512.01, Washington County, Rhode Island","","2329","547","","258","","344","","62","","135","","81","","77","","","","","2134","77","73","69354","44","009","051201"
"Census Tract 9901, Washington County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","009","990100"
"Census Tract 9902, Washington County, Rhode Island","-666666666","0","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","0","-666666666","-666666666","-666666666","-666666666","0","0","0","-666666666","44","009","990200"
"Census Tract 512.02, Washington County, Rhode Island","","2137","326","","315","","291","","179","","142","","60","","57","","","","","1880","29","17","60129","44","009","051202"
"Census Tract 513.05, Washington County, Rhode Island","","1765","189","","364","","241","","196","","133","","62","","26","","","","","1724","0","13","64118","44","009","051305"
"Census Tract 513.06, Washington County, Rhode Island","","2720","409","","343","","337","","196","","273","","45","","122","","","","","2601","26","16","83750","44","009","051306"
"Census Tract 209.04, Kent County, Rhode Island","","1397","251","","211","","208","","106","","182","","70","","0","","","","","1385","12","0","88967","44","003","020904"
"Census Tract 214.01, Kent County, Rhode Island","","1980","280","","262","","216","","191","","139","","59","","14","","","","","1935","27","0","69971","44","003","021401"
"Census Tract 215.01, Kent County, Rhode Island","","1378","231","","150","","151","","53","","89","","8","","0","","","","","1365","13","0","64813","44","003","021501"
"Census Tract 27, Providence County, Rhode Island","39820","1765","225","6545","199","4580","171","2750","83","1165","69","1340","61","1405","0","-666666666","","","","1230","215","31","28958","44","007","002700"
"Census Tract 109, Providence County, Rhode Island","","1965","236","","67","","195","","23","","87","","120","","45","","43900","9660","1140","1745","126","35","29707","44","007","010900"
"Census Tract 111, Providence County, Rhode Island","","1804","236","","60","","82","","5","","30","","86","","23","","43015","-666666666","6420","1571","0","107","32841","44","007","011100"
"Census Tract 122, Providence County, Rhode Island","","4276","727","","627","","548","","355","","263","","51","","22","","","","","4117","53","71","97050","44","007","012200"
"Census Tract 126.02, Providence County, Rhode Island","","3503","702","","529","","484","","233","","278","","12","","60","","","","","3375","13","49","67465","44","007","012602"
"Census Tract 147, Providence County, Rhode Island","","2793","525","","289","","274","","56","","121","","217","","31","","","","","2529","175","21","32926","44","007","014700"
"Census Tract 150, Providence County, Rhode Island","","2013","305","","199","","126","","224","","64","","9","","4","","","","","1786","112","0","46121","44","007","015000"
"Census Tract 156, Providence County, Rhode Island","","1283","119","","177","","113","","32","","101","","8","","26","","31085","1050","-666666666","1220","48","0","44200","44","007","015600"
"Census Tract 164, Providence County, Rhode Island","","1964","291","","173","","160","","59","","101","","39","","38","","","","","1721","141","55","34241","44","007","016400"
"Census Tract 166, Providence County, Rhode Island","","844","148","","52","","79","","74","","88","","46","","0","","","","","712","66","44","40234","44","007","016600"
"Census Tract 178, Providence County, Rhode Island","","1002","70","","107","","62","","28","","48","","98","","22","","","","","866","10","54","31786","44","007","017800"
"Census Tract 179, Providence County, Rhode Island","","1140","112","","118","","60","","27","","5","","28","","32","","","","","845","6","119","20980","44","007","017900"
"Census Tract 182, Providence County, Rhode Island","","1403","144","","100","","195","","24","","98","","82","","14","","","","","1219","8","31","45655","44","007","018200"
"Census Tract 114.03, Providence County, Rhode Island","","3516","390","","329","","333","","325","","242","","152","","9","","","","","3376","59","81","76004","44","007","011403"
