"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","zip code tabulation area"
"ZCTA5 02878","210480","7559","1261","30585","913","23720","912","23535","382","8795","452","11125","274","7275","83","1110","","","","7494","6","38","75295","7833","6569","261","1968","2773","1036","531","6569","5105","1464","15774","15221","180","13","132","177","15384","344","66","132","13","44","02878"
"ZCTA5 02892","","2877","575","","446","","226","","51","","427","","77","","27","","","","","2787","0","0","111895","3068","1917","12","214","1066","389","236","1917","1639","278","5611","5320","95","11","0","182","5502","252","27","25","0","44","02892"
"ZCTA5 02893","358645","15147","1929","48360","1914","45160","1437","28620","887","17190","716","12175","359","8945","180","2860","340835","13925","2120","14703","221","69","55106","15542","13231","1318","5488","4376","1370","679","13231","6908","6323","29143","25697","1161","17","886","745","26396","1419","130","1139","72","44","02893"
"ZCTA5 02895","475255","18593","2507","64770","1627","40440","1510","28025","626","13490","932","19155","642","10880","267","5030","431765","21355","8270","17096","323","478","42595","18940","16663","3023","6794","5120","1245","481","16663","6058","10605","41603","30599","3988","411","2416","2231","32427","5176","999","2758","0","44","02895"
"ZCTA5 02910","287495","11668","1915","55285","1559","30610","1183","24860","537","9685","770","13845","389","9165","51","1080","243920","25795","12275","10973","416","108","73717","11866","8135","350","3203","3311","869","402","8135","5709","2426","22387","17293","1633","139","1386","896","17931","2141","399","1549","158","44","02910"
"ZCTA5 02914","218435","9948","1339","31490","1406","30580","1472","25605","474","7210","518","8675","181","4800","139","2240","","","","9074","497","221","51199","10156","8802","1384","3454","2989","690","285","8802","4554","4248","21487","15655","2340","35","793","1585","16784","3394","419","865","31","44","02914"
"ZCTA5 02915","","8498","1551","","1310","","1031","","617","","447","","233","","58","","","","","8312","83","62","64495","8638","7356","667","2844","2866","638","341","7356","4861","2495","16660","14829","469","22","514","659","15323","945","177","641","19","44","02915"
"ZCTA5 02921","","5687","850","","937","","1026","","514","","488","","120","","111","","","","","5492","91","50","102917","5948","4460","74","1122","2020","909","335","4460","3833","627","12243","10461","507","34","840","189","10650","585","34","951","12","44","02921"
"ZCTA5 02919","315275","14238","2282","49880","1804","40100","1961","41360","882","12670","797","15210","188","3235","256","7020","","","","13986","67","32","65125","14846","11597","662","4316","4417","1559","643","11597","7771","3826","29307","26531","549","32","926","657","27166","817","356","1099","0","44","02919"
"ZCTA5 02804","","957","89","","115","","246","","15","","0","","0","","33","","","","","940","0","17","108672","1026","699","13","195","216","242","33","699","665","34","1849","1849","0","0","0","0","1849","0","0","0","0","44","02804"
"ZCTA5 02814","122905","4029","467","15835","501","15590","636","14525","260","5630","213","3185","110","1910","42","1110","","","","3877","46","21","89531","4161","2978","40","823","1105","598","412","2978","2542","436","7901","7619","29","8","36","178","7797","41","147","63","0","44","02814"
"ZCTA5 02817","","3290","652","","558","","477","","110","","113","","32","","10","","","","","3203","18","53","119688","3589","2256","0","265","1108","649","234","2256","1853","403","6224","5676","111","0","126","92","5768","140","63","126","0","44","02817"
"ZCTA5 02822","","3049","333","","468","","825","","156","","166","","17","","0","","","","","2971","14","36","83024","3343","2301","50","580","943","494","234","2301","1851","450","6304","5827","13","55","79","110","5920","35","147","92","92","44","02822"
"ZCTA5 02835","","2184","306","","240","","285","","211","","325","","76","","41","","","","","2070","80","0","111110","2512","2301","68","782","769","513","169","2301","1908","393","5494","4965","24","13","392","100","5065","85","52","392","0","44","02835"
"ZCTA5 02813","106755","3725","325","11800","339","9975","560","12775","199","4035","366","10140","145","2330","0","-666666666","","","","3639","29","26","78209","3879","3282","58","761","1526","617","320","3282","2746","536","7799","7434","3","112","78","172","7578","49","223","121","0","44","02813"
"ZCTA5 02840","216510","11278","1669","44990","1753","33560","1535","27000","802","10425","1233","20205","460","5820","118","1230","","","","9248","254","273","66805","12106","10267","1434","4453","3353","690","337","10267","4372","5895","23112","19503","1639","343","413","802","20198","2195","627","548","138","44","02840"
"ZCTA5 02836","","143","44","","0","","22","","0","","60","","5","","0","","","","","143","0","0","-666666666","143","56","0","0","44","0","12","56","56","0","150","150","0","0","0","0","150","0","0","0","0","44","02836"
"ZCTA5 02837","","1603","293","","212","","205","","65","","139","","31","","8","","","","","1563","8","0","89353","1799","1561","51","388","654","305","163","1561","1269","292","3489","3448","19","0","12","10","3458","19","0","22","0","44","02837"
"ZCTA5 02858","","586","156","","0","","38","","0","","0","","0","","0","","","","","586","0","0","-666666666","586","233","0","77","75","47","34","233","143","90","774","582","0","0","0","192","705","192","69","0","0","44","02858"
"ZCTA5 02882","154775","6028","769","27025","365","9300","890","22515","228","3130","611","14705","304","5130","139","2655","","","","5870","67","12","83600","6467","5870","162","1891","2275","814","728","5870","4035","1835","14029","13285","117","0","300","117","13402","130","24","369","0","44","02882"
"ZCTA5 02891","279720","10683","1643","44875","1323","28030","1243","41640","705","11570","536","11465","235","5875","151","3430","","","","10104","184","109","70358","11031","9333","721","3149","3658","1332","473","9333","5932","3401","21143","19588","321","106","511","257","19827","407","295","563","0","44","02891"
