,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
92,"Census Tract 103, Providence County, Rhode Island",,1678,282,,173,,281,,129,,47,,67,,37,,1607,41,18,36288,1692,1744,295,736,423,241,49,1744,1066,678,3875,2795,366,4,93,349,3125,457,28,112,156,44,7,10300,,,,,94.97635933806147,2.4231678486997636,16.915137614678898,491.1864406779661,38.87614678899082,61.12385321100917,72.12903225806451,27.87096774193548,2015
93,"Census Tract 114.02, Providence County, Rhode Island",,2002,353,,411,,333,,56,,105,,22,,0,,1937,50,7,101800,2077,1540,136,190,841,283,90,1540,1378,162,4349,4258,4,8,53,26,4284,4,8,79,0,44,7,11402,,,,,93.25950890707752,2.407318247472316,8.831168831168831,1032.3529411764707,10.519480519480519,89.48051948051948,97.90756495746149,2.0924350425385145,2015
94,"Census Tract 121.02, Providence County, Rhode Island",,2256,345,,230,,272,,102,,130,,40,,8,,2188,48,9,50941,2344,1928,215,752,689,103,169,1928,1206,722,4549,3964,247,51,218,40,3999,278,51,227,0,44,7,12102,,,,,93.34470989761093,2.04778156996587,11.151452282157678,796.7441860465116,37.448132780082986,62.551867219917014,87.14003077599473,12.859969224005278,2015
95,"Census Tract 129, Providence County, Rhode Island",,2112,489,,183,,55,,100,,99,,52,,0,,1904,25,19,45368,2135,2097,149,936,751,217,44,2097,1029,1068,5190,4981,20,0,22,122,5100,60,40,64,0,44,7,12900,,,,,89.18032786885246,1.1709601873536302,7.105388650453028,1307.3825503355704,50.92989985693849,49.07010014306152,95.97302504816956,4.026974951830444,2015
96,"Census Tract 135, Providence County, Rhode Island",51755.0,2308,230,5750.0,305,5710.0,223,3135.0,127,1650.0,182,3530.0,168,3125.0,53,855.0,1923,172,48,55179,2405,1771,90,833,630,158,60,1771,951,820,4844,3757,354,8,61,124,3828,459,45,70,0,44,7,13500,22.42417677642981,21.42056074766355,13.67142857142857,19.014285714285716,79.95841995841995,7.151767151767152,5.081874647092039,1867.7777777777778,46.30152456239413,53.69847543760587,77.55986787778694,22.440132122213047,2015
97,"Census Tract 137.02, Providence County, Rhode Island",,1394,186,,218,,228,,49,,149,,45,,58,,1292,34,0,57305,1394,1029,18,467,387,127,30,1029,642,387,2694,2002,57,0,447,68,2026,101,24,500,26,44,7,13702,,,,,92.6829268292683,2.4390243902439024,1.749271137026239,5616.666666666666,37.60932944606414,62.390670553935855,74.31328878990348,25.68671121009651,2015
98,"Census Tract 143, Providence County, Rhode Island",,2542,361,,348,,400,,103,,138,,179,,44,,2484,58,0,68678,2542,2099,89,813,821,281,95,2099,1431,668,4938,4119,174,0,167,318,4437,252,0,407,0,44,7,14300,,,,,97.7183320220299,2.2816679779701023,4.240114340161981,2258.4269662921347,31.82467841829443,68.17532158170557,83.41433778857838,16.585662211421628,2015
99,"Census Tract 15, Providence County, Rhode Island",,1206,150,,130,,211,,105,,86,,0,,25,,1095,52,16,48517,1250,969,98,492,262,106,11,969,513,456,2934,1394,480,3,515,209,1603,494,3,533,25,44,7,1500,,,,,87.6,4.16,10.113519091847266,888.7755102040817,47.05882352941176,52.94117647058824,47.51192910702113,52.48807089297887,2015
100,"Census Tract 113.01, Providence County, Rhode Island",54785.0,2362,349,8735.0,359,8965.0,198,3495.0,141,1910.0,232,4275.0,50,700.0,0,-666666666.0,2273,7,45,67500,2396,1846,91,671,812,147,125,1846,1234,612,4425,4302,33,16,0,0,4302,33,16,0,0,44,7,11301,23.19432684165961,25.0,15.943952802359883,17.641843971631207,94.86644407345575,0.2921535893155259,4.929577464788732,1928.5714285714284,33.15276273022752,66.84723726977249,97.22033898305085,2.7796610169491522,2015
101,"Census Tract 114.01, Providence County, Rhode Island",119035.0,4042,911,32540.0,461,11195.0,653,15760.0,305,6940.0,371,5200.0,77,2955.0,0,-666666666.0,3765,192,76,80898,4176,3237,309,1110,1252,433,133,3237,2384,853,7726,7309,17,0,284,116,7363,50,5,362,0,44,7,11401,29.449529935675407,31.876822157434404,23.695198329853863,18.203125,90.1580459770115,4.597701149425287,9.545875810936053,947.5728155339805,26.35156008649985,73.64843991350016,94.60264043489516,5.397359565104841,2015
102,"Census Tract 118, Providence County, Rhode Island",,3303,432,,362,,306,,310,,242,,37,,106,,3136,94,41,45156,3393,2672,187,1178,901,252,154,2672,1857,815,6290,4491,1108,0,287,192,4582,1168,0,403,0,44,7,11800,,,,,92.4255820807545,2.770409666961391,6.998502994011976,1328.8770053475937,30.501497005988025,69.49850299401199,71.39904610492846,28.60095389507154,2015
103,"Census Tract 8, Providence County, Rhode Island",41565.0,1827,79,2870.0,170,2700.0,200,3910.0,265,2675.0,106,985.0,76,980.0,73,685.0,703,222,108,18352,2042,1758,837,779,120,15,7,1758,145,1613,4236,2438,492,101,872,149,2553,570,146,923,12,44,7,800,22.750410509031198,22.369477911646587,14.161290322580646,10.796703296703297,34.42703232125368,10.871694417238002,47.610921501706486,110.03584229390681,91.75199089874859,8.248009101251421,57.55429650613787,42.44570349386213,2015
104,"Census Tract 34, Providence County, Rhode Island",,2292,273,,300,,552,,293,,358,,96,,0,,1847,90,17,133438,2626,1997,47,719,999,209,23,1997,1476,521,5046,4675,75,0,236,46,4721,106,14,236,0,44,7,3400,,,,,70.33511043412034,3.427265803503427,2.3535302954431647,4148.936170212766,26.089133700550825,73.91086629944917,92.64764169639318,7.352358303606818,2015
105,"Census Tract 105.01, Providence County, Rhode Island",,1710,195,,208,,209,,126,,142,,83,,56,,1682,20,0,41440,1730,1773,216,772,536,206,43,1773,1049,724,4368,3267,434,20,34,231,3483,559,107,44,0,44,7,10501,,,,,97.22543352601156,1.1560693641618496,12.18274111675127,720.8333333333333,40.834743372814444,59.165256627185556,74.79395604395604,25.206043956043956,2015
106,"Census Tract 110, Providence County, Rhode Island",66640.0,2151,180,3670.0,178,3815.0,103,2545.0,52,1800.0,103,3380.0,64,1295.0,57,1590.0,1812,129,92,29290,2189,1870,410,979,334,108,39,1870,361,1509,5443,2813,1034,38,0,247,2934,1103,209,0,0,44,7,11000,30.98093909809391,20.907821229050278,28.032258064516128,27.994011976047904,82.77752398355413,5.8931018730013704,21.92513368983957,356.0975609756098,80.69518716577541,19.3048128342246,51.681058239941216,48.31894176005879,2015
107,"Census Tract 117.02, Providence County, Rhode Island",45080.0,2149,315,7645.0,271,5985.0,375,5600.0,91,1790.0,163,2275.0,79,1130.0,105,2925.0,2050,33,25,73718,2216,1546,40,362,861,198,85,1546,1241,305,4449,4165,14,0,110,140,4295,67,15,193,0,44,7,11702,20.977198697068403,23.25938566552901,15.858369098712446,14.070247933884298,92.50902527075813,1.4891696750902528,2.58732212160414,3765.0,19.728331177231563,80.27166882276843,93.61654304338055,6.383456956619465,2015
108,"Census Tract 123, Providence County, Rhode Island",,3197,534,,618,,453,,182,,130,,60,,52,,3149,35,0,55603,3246,2734,143,1023,1089,342,137,2734,1860,874,6449,6152,84,0,64,30,6182,114,1,64,0,44,7,12300,,,,,97.0117067159581,1.0782501540357363,5.230431602048281,1811.888111888112,31.96781272860278,68.03218727139722,95.39463482710498,4.605365172895023,2015
109,"Census Tract 125, Providence County, Rhode Island",,2343,194,,210,,579,,82,,67,,11,,0,,2293,33,0,35652,2357,2526,323,1167,721,187,128,2526,1324,1202,5338,4781,5,44,191,144,4925,122,54,208,0,44,7,12500,,,,,97.2846839202376,1.4000848536274926,12.78701504354711,682.0433436532508,47.58511480601742,52.414885193982585,89.56538029224428,10.434619707755715,2015
110,"Census Tract 126.01, Providence County, Rhode Island",33495.0,1738,214,5280.0,177,3390.0,301,5420.0,98,2025.0,64,805.0,47,440.0,81,490.0,1176,11,22,85781,1848,677,14,223,349,76,15,677,593,84,4218,3562,163,47,257,115,3635,210,77,304,29,44,7,12601,19.272151898734176,22.17391304347826,18.659147869674186,11.216216216216216,63.63636363636363,0.5952380952380952,2.06794682422452,4735.714285714285,12.40768094534712,87.59231905465288,84.44760550023707,15.55239449976292,2015
111,"Census Tract 127.01, Providence County, Rhode Island",,2635,437,,459,,388,,237,,92,,24,,0,,2580,12,0,80671,2667,1787,119,329,825,316,198,1787,1519,268,5223,5120,29,12,39,23,5143,29,12,62,0,44,7,12701,,,,,96.73790776152981,0.44994375703037126,6.659205372132066,1401.6806722689075,14.997202014549524,85.00279798545047,98.02795328355352,1.9720467164464868,2015
