,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,year
16,ZCTA5 02825,96215.0,2803,475,17940.0,219,6405.0,371,12480.0,106,2385.0,142,3465.0,88,3210.0,52,1330.0,,,,2780,15,0,76408.0,2897,1957,20,1957,1630,327,44,2825,34.3257224402426,35.0792507204611,31.163522012578618,29.02173913043478,,,95.96133931653435,0.5177770107007249,1.0219724067450178,9685.0,16.709248850281043,83.29075114971896,2015
17,ZCTA5 02827,,1075,114,,143,,87,,60,,33,,15,,39,,,,,1063,0,6,96071.0,1101,730,13,730,630,100,44,2827,,,,,,,96.54859218891917,0.0,1.7808219178082192,5515.384615384615,13.698630136986301,86.3013698630137,2015
18,ZCTA5 02857,,5363,1111,,613,,901,,186,,347,,159,,27,,,,,5228,33,46,82772.0,5560,3700,135,3700,3293,407,44,2857,,,,,,,94.02877697841726,0.5935251798561151,3.6486486486486487,2640.740740740741,11.0,89.0,2015
19,ZCTA5 02881,,3045,279,,226,,254,,276,,251,,138,,58,,58640.0,3130.0,2010.0,2198,75,9,76010.0,3174,1171,56,1171,781,390,44,2881,,,,,26.678798908098273,41.733333333333334,69.25015752993069,2.3629489603024574,4.782237403928266,1991.0714285714284,33.30486763450043,66.69513236549957,2015
20,ZCTA5 02898,,787,228,,80,,119,,57,,16,,0,,0,,,,,774,0,0,82145.0,787,581,32,581,422,159,44,2898,,,,,,,98.34815756035579,0.0,5.507745266781412,1715.625,27.36660929432014,72.63339070567987,2015
21,ZCTA5 02907,258825.0,11186,1292,26045.0,902,17515.0,1387,26240.0,722,12415.0,837,16510.0,393,4870.0,102,1900.0,,,,9297,1103,321,30877.0,11419,8699,1770,8699,2315,6384,44,2907,23.138297872340427,19.85414767547858,18.32859174964438,17.382113821138212,,,81.41693668447326,9.659339696996234,20.34716634095873,391.46892655367236,73.38774571789861,26.61225428210139,2015
22,ZCTA5 02804,,1387,373,,195,,168,,69,,45,,52,,0,,,,,1308,25,0,71439.0,1417,954,12,954,883,71,44,2804,,,,,,,92.3076923076923,1.7642907551164433,1.257861635220126,7850.0,7.4423480083857445,92.55765199161425,2015
23,ZCTA5 02814,121960.0,3756,717,23110.0,380,10635.0,421,10675.0,146,4435.0,220,3575.0,129,3750.0,0,-666666666.0,,,,3690,28,12,82896.0,3924,2709,92,2709,2463,246,44,2814,32.470713525026625,30.76116681859617,26.649029982363317,20.988538681948423,,,94.03669724770643,0.7135575942915392,3.3960871170173497,2844.5652173913045,9.080841638981173,90.91915836101883,2015
24,ZCTA5 02817,,2777,404,,475,,446,,94,,176,,73,,43,,,,,2723,40,0,85942.0,2906,2175,44,2175,1690,485,44,2817,,,,,,,93.70268410185822,1.3764624913971095,2.022988505747126,4843.181818181818,22.298850574712645,77.70114942528735,2015
25,ZCTA5 02822,,3190,548,,472,,342,,160,,185,,0,,0,,,,,3115,49,0,83465.0,3509,2361,39,2361,1938,423,44,2822,,,,,,,88.77172983756056,1.396409233399829,1.6518424396442184,5953.846153846154,17.916137229987296,82.0838627700127,2015
