"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 27, Providence County, Rhode Island","47650","1671","328","10245","101","1725","116","2540","78","1350","132","2580","47","1000","51","1095","35365","8250","1510","1196","146","46","30307","44","007","002700"
"Census Tract 109, Providence County, Rhode Island","","1795","128","","61","","310","","75","","100","","65","","22","","","","","1580","125","28","32757","44","007","010900"
"Census Tract 111, Providence County, Rhode Island","","1662","252","","183","","206","","23","","66","","9","","9","","42680","1395","-666666666","1414","47","0","29744","44","007","011100"
"Census Tract 122, Providence County, Rhode Island","","3671","678","","552","","761","","164","","243","","45","","10","","","","","3624","0","32","98539","44","007","012200"
"Census Tract 126.02, Providence County, Rhode Island","","3670","650","","549","","304","","113","","334","","176","","41","","","","","3628","0","42","76623","44","007","012602"
"Census Tract 147, Providence County, Rhode Island","","3340","574","","387","","381","","150","","241","","113","","20","","","","","2938","373","29","41830","44","007","014700"
"Census Tract 150, Providence County, Rhode Island","","2564","475","","171","","373","","138","","243","","65","","53","","","","","2422","30","0","62946","44","007","015000"
"Census Tract 156, Providence County, Rhode Island","","1284","95","","257","","62","","75","","90","","6","","44","","","","","1206","49","0","54375","44","007","015600"
"Census Tract 164, Providence County, Rhode Island","49045","1963","263","6680","191","4145","207","6795","119","1975","180","5130","67","660","0","-666666666","","","","1868","77","0","37566","44","007","016400"
"Census Tract 166, Providence County, Rhode Island","","948","162","","95","","102","","20","","24","","26","","0","","","","","900","29","0","52907","44","007","016600"
"Census Tract 178, Providence County, Rhode Island","","967","72","","26","","110","","0","","28","","104","","38","","","","","871","5","39","23875","44","007","017800"
"Census Tract 179, Providence County, Rhode Island","","1417","149","","105","","119","","38","","18","","55","","17","","","","","1323","20","0","32448","44","007","017900"
"Census Tract 182, Providence County, Rhode Island","","1570","155","","210","","109","","36","","110","","76","","15","","36440","-666666666","1060","1466","0","49","52649","44","007","018200"
"Census Tract 114.03, Providence County, Rhode Island","92290","3668","490","12365","567","13865","357","6350","87","1410","351","6170","133","2345","0","-666666666","","","","3563","0","98","86346","44","007","011403"
"Census Tract 15, Providence County, Rhode Island","","1642","299","","304","","150","","164","","104","","20","","0","","","","","1541","84","17","60938","44","007","001500"
"Census Tract 113.01, Providence County, Rhode Island","","2419","322","","359","","335","","163","","161","","0","","11","","","","","2364","45","0","84150","44","007","011301"
"Census Tract 114.01, Providence County, Rhode Island","","4405","659","","693","","657","","343","","393","","18","","16","","","","","4266","104","15","113250","44","007","011401"
"Census Tract 118, Providence County, Rhode Island","","3195","666","","589","","272","","107","","156","","0","","165","","","","","3128","67","0","47035","44","007","011800"
"Census Tract 8, Providence County, Rhode Island","","1795","108","","197","","196","","171","","162","","98","","109","","16595","12205","1450","810","221","52","34850","44","007","000800"
"Census Tract 34, Providence County, Rhode Island","","2081","202","","409","","502","","351","","125","","102","","0","","","","","1805","139","39","178235","44","007","003400"
"Census Tract 105.01, Providence County, Rhode Island","48830","2110","299","7415","271","6045","242","3935","116","2855","145","1875","52","2100","28","280","","","","1927","110","20","57946","44","007","010501"
"Census Tract 217, Kent County, Rhode Island","58495","2117","348","10805","108","2270","325","7795","119","2040","201","3765","58","1080","0","-666666666","","","","2060","36","9","64815","44","003","021700"
"Census Tract 219.03, Kent County, Rhode Island","","1720","325","","273","","163","","90","","77","","67","","10","","","","","1689","22","0","85729","44","003","021903"
"Census Tract 222.02, Kent County, Rhode Island","","1834","268","","482","","154","","106","","114","","41","","26","","","","","1834","0","0","51625","44","003","022202"
"Census Tract 206.01, Kent County, Rhode Island","","3319","434","","588","","341","","132","","177","","40","","106","","","","","3231","52","36","85184","44","003","020601"
"Census Tract 206.03, Kent County, Rhode Island","","3147","522","","269","","373","","154","","24","","13","","0","","","","","3089","0","0","63458","44","003","020603"
"Census Tract 219.02, Kent County, Rhode Island","","1517","302","","141","","158","","57","","76","","45","","10","","","","","1456","31","11","73281","44","003","021902"
"Census Tract 223, Kent County, Rhode Island","","1839","78","","340","","91","","215","","136","","75","","16","","","","","1782","57","0","50938","44","003","022300"
"Census Tract 208, Kent County, Rhode Island","","3290","652","","558","","477","","110","","113","","32","","10","","","","","3203","18","53","119688","44","003","020800"
"Census Tract 202, Kent County, Rhode Island","","2308","311","","169","","227","","85","","64","","81","","80","","","","","2295","0","0","43833","44","003","020200"
"Census Tract 206.02, Kent County, Rhode Island","","1800","281","","319","","112","","147","","61","","82","","14","","","","","1778","9","0","57560","44","003","020602"
"Census Tract 213, Kent County, Rhode Island","","2323","482","","392","","362","","100","","72","","33","","33","","","","","2256","67","0","92839","44","003","021300"
"Census Tract 216, Kent County, Rhode Island","","860","208","","108","","104","","60","","59","","9","","6","","","","","841","8","0","130962","44","003","021600"
"Census Tract 219.01, Kent County, Rhode Island","","1593","162","","218","","82","","113","","118","","0","","0","","","","","1568","12","6","72910","44","003","021901"
"Census Tract 220, Kent County, Rhode Island","","1602","264","","173","","246","","76","","94","","26","","0","","","","","1544","30","0","70556","44","003","022000"
"Census Tract 221, Kent County, Rhode Island","","2729","518","","467","","393","","188","","166","","63","","0","","","","","2655","35","0","74653","44","003","022100"
"Census Tract 207.01, Kent County, Rhode Island","","899","124","","56","","96","","21","","8","","67","","15","","","","","863","0","16","76333","44","003","020701"
"Census Tract 103, Providence County, Rhode Island","","1637","190","","250","","297","","125","","106","","67","","20","","","","","1572","19","32","37246","44","007","010300"
"Census Tract 114.02, Providence County, Rhode Island","","2173","337","","537","","262","","9","","119","","30","","27","","","","","2102","50","0","117955","44","007","011402"
"Census Tract 121.02, Providence County, Rhode Island","50860","2216","337","8395","298","5435","355","7920","69","1165","48","1130","61","2425","47","690","","","","2159","39","8","54957","44","007","012102"
"Census Tract 129, Providence County, Rhode Island","","2488","595","","248","","61","","15","","144","","57","","0","","","","","2278","15","93","73684","44","007","012900"
"Census Tract 135, Providence County, Rhode Island","51640","2413","275","5180","247","4460","394","6550","229","5400","121","2530","121","3285","61","2000","","","","2108","150","36","65107","44","007","013500"
"Census Tract 137.02, Providence County, Rhode Island","","1553","440","","158","","159","","114","","119","","49","","0","","","","","1431","86","15","69821","44","007","013702"
"Census Tract 143, Providence County, Rhode Island","","2345","539","","279","","277","","93","","59","","251","","120","","","","","2174","0","9","72273","44","007","014300"
"Census Tract 110, Providence County, Rhode Island","","2612","328","","152","","138","","91","","79","","66","","18","","","","","2402","134","11","34944","44","007","011000"
"Census Tract 117.02, Providence County, Rhode Island","44765","2101","330","7600","236","4700","269","6040","269","4705","112","1580","96","1175","85","1380","","","","2059","1","41","80179","44","007","011702"
"Census Tract 123, Providence County, Rhode Island","","3607","663","","433","","357","","257","","138","","94","","42","","","","","3510","48","0","60066","44","007","012300"
"Census Tract 125, Providence County, Rhode Island","","2109","240","","118","","416","","90","","102","","17","","33","","","","","2064","19","0","51035","44","007","012500"
"Census Tract 126.01, Providence County, Rhode Island","29750","1599","165","4470","204","3775","112","2215","153","3205","43","785","86","1385","30","110","","","","1010","10","28","87969","44","007","012601"
"Census Tract 127.01, Providence County, Rhode Island","","2314","436","","352","","180","","159","","183","","9","","0","","","","","2244","0","7","96409","44","007","012701"
"Census Tract 128.01, Providence County, Rhode Island","","2255","416","","127","","310","","4","","103","","0","","16","","","","","2222","0","24","66591","44","007","012801"
"Census Tract 130.01, Providence County, Rhode Island","","1855","239","","145","","134","","44","","73","","72","","7","","","","","1800","15","0","92857","44","007","013001"
"Census Tract 130.02, Providence County, Rhode Island","","4207","921","","498","","360","","115","","156","","31","","81","","","","","4069","17","67","86833","44","007","013002"
"Census Tract 131.01, Providence County, Rhode Island","80655","2517","230","9315","303","8945","333","9015","188","4430","88","2035","95","1740","42","1110","","","","2470","34","13","88961","44","007","013101"
"Census Tract 140, Providence County, Rhode Island","","3023","398","","368","","235","","76","","228","","83","","17","","","","","2929","45","49","72726","44","007","014000"
"Census Tract 144, Providence County, Rhode Island","","1692","256","","271","","362","","161","","146","","8","","0","","","","","1640","52","0","80720","44","007","014400"
"Census Tract 170, Providence County, Rhode Island","","2417","477","","118","","272","","89","","151","","37","","8","","","","","2353","37","0","69063","44","007","017000"
"Census Tract 406, Newport County, Rhode Island","","2147","407","","595","","173","","57","","285","","13","","29","","36895","815","895","1925","59","43","64598","44","005","040600"
"Census Tract 407, Newport County, Rhode Island","","1789","270","","377","","252","","143","","257","","82","","11","","37130","-666666666","475","1621","0","9","88527","44","005","040700"
