"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 409, Newport County, Rhode Island","45490","2133","429","11935","232","4120","301","7995","140","2410","198","2595","150","1740","24","170","","","","1683","16","68","94652","44","005","040900"
"Census Tract 410, Newport County, Rhode Island","","1154","136","","72","","211","","118","","145","","66","","0","","","","","773","31","30","62939","44","005","041000"
"Census Tract 412, Newport County, Rhode Island","","1149","185","","51","","110","","27","","36","","0","","17","","","","","292","15","95","45294","44","005","041200"
"Census Tract 414, Newport County, Rhode Island","","1603","293","","212","","205","","65","","139","","31","","8","","","","","1563","8","0","89353","44","005","041400"
"Census Tract 416.02, Newport County, Rhode Island","57615","2059","304","8580","277","6040","265","5750","222","4945","163","3190","19","215","50","845","57615","-666666666","-666666666","2059","0","0","76970","44","005","041602"
"Census Tract 408, Newport County, Rhode Island","","923","74","","116","","178","","80","","160","","81","","0","","","","","779","14","18","70614","44","005","040800"
"Census Tract 401.02, Newport County, Rhode Island","","2634","288","","529","","340","","83","","276","","52","","44","","68695","-666666666","-666666666","2634","0","0","112563","44","005","040102"
"Census Tract 403.03, Newport County, Rhode Island","","1810","356","","169","","102","","120","","81","","23","","0","","","","","1720","39","12","67617","44","005","040303"
"Census Tract 401.01, Newport County, Rhode Island","68845","2566","316","9415","359","9630","397","10275","87","1575","104","3245","37","625","19","280","","","","2411","79","42","91302","44","005","040101"
"Census Tract 402, Newport County, Rhode Island","","715","144","","76","","49","","64","","44","","41","","6","","","","","631","9","0","46659","44","005","040200"
"Census Tract 403.04, Newport County, Rhode Island","","1533","177","","210","","233","","72","","30","","73","","0","","","","","1430","0","7","72109","44","005","040304"
"Census Tract 401.03, Newport County, Rhode Island","","3377","438","","559","","582","","503","","171","","0","","49","","","","","3160","78","0","92879","44","005","040103"
"Census Tract 405, Newport County, Rhode Island","","2151","187","","268","","234","","175","","113","","50","","37","","","","","1779","47","81","38648","44","005","040500"
"Census Tract 413, Newport County, Rhode Island","","2184","306","","240","","285","","211","","325","","76","","41","","","","","2070","80","0","111110","44","005","041300"
"Census Tract 416.01, Newport County, Rhode Island","37290","1542","251","5590","71","1100","66","1055","44","1255","120","2780","72","1990","0","-666666666","","","","1524","0","10","44750","44","005","041601"
"Census Tract 404, Newport County, Rhode Island","","2836","424","","379","","549","","124","","355","","101","","15","","","","","2654","0","11","85559","44","005","040400"
"Census Tract 403.02, Newport County, Rhode Island","","1233","185","","216","","94","","28","","129","","11","","21","","","","","1221","0","0","77581","44","005","040302"
"Census Tract 411, Newport County, Rhode Island","","650","129","","73","","141","","62","","45","","18","","0","","","","","480","72","0","76324","44","005","041100"
"Census Tract 203, Kent County, Rhode Island","","2707","335","","391","","251","","231","","75","","43","","55","","","","","2613","3","16","38342","44","003","020300"
"Census Tract 209.01, Kent County, Rhode Island","","1988","208","","396","","275","","164","","87","","66","","10","","","","","1848","64","0","87850","44","003","020901"
"Census Tract 205, Kent County, Rhode Island","46880","1966","276","6505","310","6550","191","3940","147","2235","79","1620","47","1255","32","540","","","","1855","64","0","62083","44","003","020500"
"Census Tract 206.04, Kent County, Rhode Island","","2661","391","","234","","327","","49","","292","","17","","81","","","","","2570","33","17","60938","44","003","020604"
"Census Tract 218, Kent County, Rhode Island","","2170","380","","198","","219","","113","","120","","60","","26","","","","","2123","29","0","85208","44","003","021800"
"Census Tract 207.02, Kent County, Rhode Island","73485","2206","284","9125","346","12440","250","6950","92","2935","117","3175","31","310","56","1135","","","","2195","0","0","94929","44","003","020702"
"Census Tract 207.03, Kent County, Rhode Island","","3144","476","","430","","370","","176","","235","","18","","0","","","","","3077","0","38","99088","44","003","020703"
"Census Tract 151, Providence County, Rhode Island","","2087","368","","93","","129","","148","","235","","57","","22","","","","","1786","219","22","36027","44","007","015100"
"Census Tract 154, Providence County, Rhode Island","","1066","149","","46","","137","","33","","13","","30","","6","","","","","954","36","37","46250","44","007","015400"
"Census Tract 160, Providence County, Rhode Island","45445","1764","200","6800","185","4200","31","400","60","1205","181","3955","31","1270","0","-666666666","","","","1613","24","85","46908","44","007","016000"
"Census Tract 168, Providence County, Rhode Island","","1514","153","","224","","147","","71","","20","","25","","0","","","","","1441","16","0","52171","44","007","016800"
"Census Tract 169, Providence County, Rhode Island","","929","181","","122","","143","","26","","100","","8","","0","","","","","856","52","8","83833","44","007","016900"
"Census Tract 174, Providence County, Rhode Island","","1597","199","","151","","89","","33","","14","","0","","22","","","","","1553","7","0","37332","44","007","017400"
"Census Tract 28, Providence County, Rhode Island","","2610","390","","93","","231","","147","","80","","0","","38","","","","","2498","112","0","41136","44","007","002800"
"Census Tract 157, Providence County, Rhode Island","","1517","165","","321","","180","","50","","64","","53","","0","","","","","1448","37","15","66300","44","007","015700"
"Census Tract 107.02, Providence County, Rhode Island","60285","2171","349","10225","271","8265","234","4740","181","3220","165","3150","65","2885","0","-666666666","","","","2089","61","21","76174","44","007","010702"
"Census Tract 115, Providence County, Rhode Island","75925","2876","416","11485","388","8295","354","10805","189","4720","366","8010","136","2835","48","1285","","","","2779","41","9","64769","44","007","011500"
"Census Tract 139, Providence County, Rhode Island","","1462","237","","315","","180","","113","","44","","40","","22","","","","","1422","21","0","59770","44","007","013900"
"Census Tract 180, Providence County, Rhode Island","","999","50","","8","","91","","31","","71","","35","","49","","","","","911","0","13","24615","44","007","018000"
"Census Tract 163, Providence County, Rhode Island","","1755","123","","182","","181","","97","","132","","6","","47","","","","","1703","52","0","70750","44","007","016300"
"Census Tract 13, Providence County, Rhode Island","","1767","194","","160","","575","","83","","173","","42","","0","","","","","1522","65","22","52531","44","007","001300"
"Census Tract 102, Providence County, Rhode Island","","3577","470","","649","","769","","117","","0","","85","","0","","","","","3196","302","47","54058","44","007","010200"
"Census Tract 142, Providence County, Rhode Island","23905","1094","142","3725","148","2585","207","3885","62","625","38","645","32","975","16","805","","","","1063","14","12","93427","44","007","014200"
"Census Tract 302, Bristol County, Rhode Island","43120","1693","357","8980","219","4965","158","3795","149","2425","121","2670","68","1610","36","1280","","","","1593","55","0","114479","44","001","030200"
"Census Tract 303, Bristol County, Rhode Island","60665","2121","412","11515","433","12035","277","6695","162","4105","129","3125","97","1900","0","-666666666","","","","2070","35","0","133086","44","001","030300"
"Census Tract 309.01, Bristol County, Rhode Island","","3048","335","","303","","489","","154","","193","","87","","89","","","","","2928","32","88","95670","44","001","030901"
"Census Tract 304, Bristol County, Rhode Island","","1866","404","","331","","443","","196","","72","","60","","10","","","","","1758","78","0","183523","44","001","030400"
"Census Tract 307, Bristol County, Rhode Island","","1760","230","","197","","191","","124","","61","","122","","10","","","","","1612","62","0","57780","44","001","030700"
"Census Tract 305, Bristol County, Rhode Island","","1690","230","","256","","99","","80","","100","","61","","17","","","","","1474","83","29","43029","44","001","030500"
"Census Tract 306.02, Bristol County, Rhode Island","","1893","378","","199","","108","","76","","109","","25","","19","","","","","1823","52","8","67656","44","001","030602"
"Census Tract 309.02, Bristol County, Rhode Island","","2890","701","","377","","308","","247","","214","","71","","55","","","","","2748","30","27","67882","44","001","030902"
"Census Tract 306.01, Bristol County, Rhode Island","41920","1794","394","8230","255","5850","123","3060","52","965","141","2525","90","3100","0","-666666666","","","","1771","10","13","85766","44","001","030601"
"Census Tract 308, Bristol County, Rhode Island","55210","2568","316","9385","271","5080","169","6240","199","2350","169","4285","76","785","45","1265","","","","1756","8","0","72308","44","001","030800"
"Census Tract 301, Bristol County, Rhode Island","","1987","353","","343","","300","","152","","173","","68","","22","","","","","1912","62","0","102906","44","001","030100"
"Census Tract 506, Washington County, Rhode Island","","4311","859","","434","","459","","24","","437","","101","","37","","","","","4262","0","22","95391","44","009","050600"
"Census Tract 511.02, Washington County, Rhode Island","39760","1393","137","5965","149","4365","96","2265","63","770","260","7710","97","1485","0","-666666666","","","","1359","10","0","73224","44","009","051102"
"Census Tract 515.02, Washington County, Rhode Island","","3270","528","","181","","551","","101","","332","","32","","0","","","","","3171","24","18","115842","44","009","051502"
"Census Tract 515.03, Washington County, Rhode Island","","1690","121","","120","","253","","113","","192","","207","","0","","","","","1634","38","0","59563","44","009","051503"
"Census Tract 209.03, Kent County, Rhode Island","","2504","560","","445","","427","","267","","138","","22","","0","","","","","2434","32","27","143581","44","003","020903"
"Census Tract 211, Kent County, Rhode Island","","2595","355","","692","","171","","66","","14","","100","","24","","","","","2382","35","0","68750","44","003","021100"
"Census Tract 215.02, Kent County, Rhode Island","","2184","366","","282","","214","","117","","106","","44","","27","","","","","2103","36","0","76046","44","003","021502"
"Census Tract 224, Kent County, Rhode Island","","1108","170","","186","","146","","75","","59","","29","","6","","","","","1087","15","6","81250","44","003","022400"
"Census Tract 201.01, Kent County, Rhode Island","101285","3932","598","16960","463","12200","351","6150","254","7380","207","2985","112","2100","0","-666666666","","","","3872","29","18","76346","44","003","020101"
"Census Tract 204, Kent County, Rhode Island","","1472","81","","217","","84","","101","","103","","7","","13","","","","","1405","41","20","62416","44","003","020400"
"Census Tract 222.01, Kent County, Rhode Island","","3574","427","","282","","935","","316","","210","","33","","36","","","","","3523","34","0","87240","44","003","022201"
"Census Tract 201.02, Kent County, Rhode Island","","2653","284","","224","","333","","51","","188","","69","","0","","","","","2554","84","15","56694","44","003","020102"
"Census Tract 214.02, Kent County, Rhode Island","49115","2031","358","9730","223","3885","71","1610","196","2810","50","1535","59","985","30","1480","","","","1949","49","22","77059","44","003","021402"
"Census Tract 212, Kent County, Rhode Island","41600","1890","445","11410","184","3290","96","3060","31","800","88","2045","53","1000","35","350","","","","1835","29","0","73964","44","003","021200"
"Census Tract 146, Providence County, Rhode Island","","2955","449","","318","","477","","321","","194","","87","","68","","","","","2859","25","33","89329","44","007","014600"
"Census Tract 132.02, Providence County, Rhode Island","","3292","644","","347","","640","","53","","122","","193","","0","","","","","3292","0","0","94978","44","007","013202"
"Census Tract 137.01, Providence County, Rhode Island","","2367","342","","269","","240","","188","","143","","171","","22","","","","","2174","80","27","62756","44","007","013701"
"Census Tract 138, Providence County, Rhode Island","","2991","396","","585","","411","","88","","144","","52","","9","","","","","2879","61","17","83398","44","007","013800"
"Census Tract 171, Providence County, Rhode Island","","1958","249","","119","","217","","96","","99","","129","","11","","","","","1886","30","0","41880","44","007","017100"
"Census Tract 181, Providence County, Rhode Island","","1196","148","","108","","85","","30","","73","","32","","37","","","","","931","44","141","43375","44","007","018100"
"Census Tract 184, Providence County, Rhode Island","60675","2810","586","14865","254","4940","281","5470","294","7035","287","3595","243","3400","0","-666666666","","","","2736","11","33","50924","44","007","018400"
"Census Tract 176, Providence County, Rhode Island","","1068","98","","68","","28","","37","","45","","18","","23","","","","","817","103","52","35938","44","007","017600"
"Census Tract 177, Providence County, Rhode Island","","2108","303","","182","","162","","19","","81","","11","","32","","","","","1950","29","68","67514","44","007","017700"
"Census Tract 183, Providence County, Rhode Island","","694","63","","48","","56","","13","","0","","17","","22","","","","","645","16","0","24335","44","007","018300"
"Census Tract 1.02, Providence County, Rhode Island","","2170","421","","202","","201","","76","","46","","172","","85","","","","","2003","150","17","49444","44","007","000102"
"Census Tract 6, Providence County, Rhode Island","","518","5","","84","","41","","83","","0","","0","","0","","","","","482","10","9","36471","44","007","000600"
"Census Tract 7, Providence County, Rhode Island","","734","41","","79","","93","","87","","22","","22","","31","","","","","705","9","0","18802","44","007","000700"
"Census Tract 145.01, Providence County, Rhode Island","","2462","346","","477","","502","","169","","253","","28","","27","","","","","2382","25","17","124074","44","007","014501"
"Census Tract 155, Providence County, Rhode Island","62125","2391","461","12480","366","5955","98","2050","134","5070","101","1800","76","2350","31","1060","","","","2203","117","18","64183","44","007","015500"
"Census Tract 159, Providence County, Rhode Island","","1977","213","","209","","153","","178","","103","","0","","0","","","","","1923","40","0","57813","44","007","015900"
"Census Tract 2, Providence County, Rhode Island","","2264","235","","247","","374","","286","","7","","100","","54","","","","","1907","330","0","39640","44","007","000200"
"Census Tract 3, Providence County, Rhode Island","","2839","305","","472","","266","","93","","66","","118","","0","","","","","2493","189","8","37854","44","007","000300"
"Census Tract 12, Providence County, Rhode Island","","1416","163","","64","","132","","55","","135","","190","","0","","","","","1142","152","71","37616","44","007","001200"
"Census Tract 14, Providence County, Rhode Island","","2722","171","","88","","573","","38","","71","","16","","60","","","","","2183","326","15","35960","44","007","001400"
"Census Tract 23, Providence County, Rhode Island","","2091","295","","266","","467","","199","","132","","109","","26","","","","","1887","67","0","62841","44","007","002300"
"Census Tract 26, Providence County, Rhode Island","","992","256","","118","","61","","0","","65","","26","","15","","","","","855","54","0","29367","44","007","002600"
"Census Tract 36.02, Providence County, Rhode Island","35515","1977","115","2470","137","2830","123","2805","140","1665","199","2640","127","1700","88","1035","","","","691","146","41","119821","44","007","003602"
"Census Tract 108, Providence County, Rhode Island","","1731","206","","106","","110","","31","","73","","112","","0","","","","","1424","166","0","32958","44","007","010800"
"Census Tract 113.02, Providence County, Rhode Island","","2195","304","","251","","241","","119","","139","","30","","22","","","","","2145","50","0","99009","44","007","011302"
"Census Tract 117.01, Providence County, Rhode Island","","2212","309","","414","","309","","79","","133","","63","","0","","","","","2079","65","37","65526","44","007","011701"
"Census Tract 124.01, Providence County, Rhode Island","","3608","583","","543","","311","","339","","210","","15","","142","","69975","-666666666","-666666666","3545","0","0","69101","44","007","012401"
"Census Tract 152, Providence County, Rhode Island","","761","82","","92","","48","","0","","48","","17","","0","","","","","716","43","0","13447","44","007","015200"
"Census Tract 153, Providence County, Rhode Island","","1010","198","","115","","87","","37","","59","","17","","5","","","","","953","28","5","39028","44","007","015300"
"Census Tract 158, Providence County, Rhode Island","","1684","277","","359","","165","","91","","78","","16","","25","","","","","1636","26","0","67528","44","007","015800"
"Census Tract 167, Providence County, Rhode Island","","1932","303","","263","","182","","98","","52","","8","","24","","","","","1733","101","10","47708","44","007","016700"
"Census Tract 175, Providence County, Rhode Island","","1468","258","","120","","137","","49","","92","","22","","0","","","","","1375","10","26","43516","44","007","017500"
"Census Tract 29, Providence County, Rhode Island","","3080","250","","536","","145","","44","","137","","24","","83","","","","","2528","201","188","36555","44","007","002900"
"Census Tract 11, Providence County, Rhode Island","","1345","199","","131","","125","","151","","153","","45","","11","","20490","1415","1880","948","62","25","55380","44","007","001100"
"Census Tract 131.02, Providence County, Rhode Island","","2663","456","","419","","454","","119","","176","","28","","0","","","","","2478","12","14","90847","44","007","013102"
"Census Tract 104, Providence County, Rhode Island","71540","2909","487","13775","346","4635","245","4755","81","1410","238","4760","0","-666666666","111","1960","","","","2622","93","137","50507","44","007","010400"
"Census Tract 105.02, Providence County, Rhode Island","66540","2516","565","17525","480","8580","282","6900","212","3175","98","2510","67","2480","0","-666666666","","","","2486","0","21","69231","44","007","010502"
"Census Tract 107.01, Providence County, Rhode Island","","1191","244","","103","","99","","125","","86","","25","","0","","","","","1171","0","20","83958","44","007","010701"
"Census Tract 128.02, Providence County, Rhode Island","","1144","174","","91","","165","","67","","35","","38","","0","","","","","1130","0","14","81034","44","007","012802"
"Census Tract 132.01, Providence County, Rhode Island","","2473","537","","347","","288","","172","","177","","0","","73","","","","","2375","74","0","101824","44","007","013201"
"Census Tract 1.01, Providence County, Rhode Island","48635","1961","279","9250","178","3100","156","2970","121","2750","85","1840","163","3260","69","785","","","","1580","161","22","39327","44","007","000101"
"Census Tract 16, Providence County, Rhode Island","","4189","442","","430","","764","","117","","375","","215","","88","","","","","3789","197","72","53048","44","007","001600"
"Census Tract 22, Providence County, Rhode Island","","1796","102","","287","","216","","12","","65","","49","","43","","","","","1560","88","35","36786","44","007","002200"
"Census Tract 25, Providence County, Rhode Island","","1627","196","","237","","317","","119","","76","","58","","13","","","","","1305","65","74","62237","44","007","002500"
"Census Tract 31, Providence County, Rhode Island","","1847","113","","289","","230","","258","","276","","79","","18","","","","","1291","142","0","31642","44","007","003100"
"Census Tract 33, Providence County, Rhode Island","","2208","282","","281","","403","","241","","278","","55","","25","","","","","1761","354","0","89013","44","007","003300"
"Census Tract 35, Providence County, Rhode Island","","2647","338","","609","","234","","203","","279","","137","","37","","","","","1719","234","0","60734","44","007","003500"
"Census Tract 36.01, Providence County, Rhode Island","","1281","47","","121","","176","","196","","125","","164","","59","","","","","501","65","11","49792","44","007","003601"
"Census Tract 37, Providence County, Rhode Island","","1599","122","","141","","234","","224","","368","","84","","87","","19775","9130","775","737","226","19","50563","44","007","003700"
"Census Tract 101.01, Providence County, Rhode Island","","2382","337","","357","","272","","209","","251","","40","","15","","","","","2301","35","46","79457","44","007","010101"
"Census Tract 5, Providence County, Rhode Island","","1140","202","","93","","285","","15","","85","","0","","96","","21540","4525","-666666666","963","105","0","25757","44","007","000500"
"Census Tract 9, Providence County, Rhode Island","","1247","63","","111","","133","","82","","255","","115","","81","","","","","836","72","0","37500","44","007","000900"
"Census Tract 501.03, Washington County, Rhode Island","","2481","347","","213","","310","","59","","89","","91","","16","","","","","2352","12","0","58844","44","009","050103"
"Census Tract 504.02, Washington County, Rhode Island","","1354","186","","169","","179","","50","","132","","111","","7","","","","","1325","9","20","104531","44","009","050402"
"Census Tract 505, Washington County, Rhode Island","","3208","397","","564","","814","","156","","171","","17","","0","","","","","3130","14","36","84919","44","009","050500"
"Census Tract 415, Washington County, Rhode Island","","482","83","","77","","67","","29","","81","","23","","0","","","","","410","7","0","59423","44","009","041500"
"Census Tract 501.04, Washington County, Rhode Island","","1854","362","","162","","298","","143","","115","","80","","20","","","","","1819","16","0","118839","44","009","050104"
"Census Tract 503.01, Washington County, Rhode Island","","2400","266","","319","","363","","134","","145","","25","","16","","","","","2345","33","0","109367","44","009","050301"
"Census Tract 508.02, Washington County, Rhode Island","","2139","350","","183","","347","","131","","201","","73","","9","","","","","2036","9","32","69886","44","009","050802"
"Census Tract 515.04, Washington County, Rhode Island","","1614","168","","90","","199","","41","","135","","98","","139","","","","","1544","29","12","50156","44","009","051504"
"Census Tract 504.01, Washington County, Rhode Island","","2366","410","","289","","266","","205","","178","","58","","19","","","","","2240","113","4","119181","44","009","050401"
"Census Tract 509.02, Washington County, Rhode Island","","2620","550","","347","","389","","177","","35","","63","","34","","","","","2542","14","0","90497","44","009","050902"
"Census Tract 513.04, Washington County, Rhode Island","","845","101","","111","","181","","97","","62","","17","","10","","","","","825","20","0","92375","44","009","051304"
"Census Tract 511.01, Washington County, Rhode Island","66995","2332","188","5835","190","5610","464","10510","136","3265","106","2430","48","845","0","-666666666","","","","2280","19","26","81953","44","009","051101"
"Census Tract 513.02, Washington County, Rhode Island","","1570","237","","174","","266","","55","","95","","62","","7","","","","","1552","18","0","94342","44","009","051302"
"Census Tract 514, Washington County, Rhode Island","","1421","63","","34","","93","","61","","144","","36","","87","","13630","2665","-666666666","711","31","0","55938","44","009","051400"
"Census Tract 501.02, Washington County, Rhode Island","","1156","148","","207","","205","","47","","74","","70","","8","","","","","1130","7","5","97206","44","009","050102"
