,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,year
0,"Census Tract 27, Providence County, Rhode Island",47650.0,1671,328,10245.0,101,1725.0,116,2540.0,78,1350.0,132,2580.0,47,1000.0,51,1095.0,35365.0,8250.0,1510.0,1196,146,46,30307,44,7,2700,28.515858767205266,27.902097902097903,20.051546391752577,20.0,29.569397993311036,56.50684931506849,2019
1,"Census Tract 109, Providence County, Rhode Island",,1795,128,,61,,310,,75,,100,,65,,22,,,,,1580,125,28,32757,44,7,10900,,,,,,,2019
2,"Census Tract 111, Providence County, Rhode Island",,1662,252,,183,,206,,23,,66,,9,,9,,42680.0,1395.0,-666666666.0,1414,47,0,29744,44,7,11100,,,,,30.183875530410184,29.680851063829788,2019
3,"Census Tract 122, Providence County, Rhode Island",,3671,678,,552,,761,,164,,243,,45,,10,,,,,3624,0,32,98539,44,7,12200,,,,,,,2019
4,"Census Tract 126.02, Providence County, Rhode Island",,3670,650,,549,,304,,113,,334,,176,,41,,,,,3628,0,42,76623,44,7,12602,,,,,,,2019
5,"Census Tract 147, Providence County, Rhode Island",,3340,574,,387,,381,,150,,241,,113,,20,,,,,2938,373,29,41830,44,7,14700,,,,,,,2019
6,"Census Tract 150, Providence County, Rhode Island",,2564,475,,171,,373,,138,,243,,65,,53,,,,,2422,30,0,62946,44,7,15000,,,,,,,2019
7,"Census Tract 156, Providence County, Rhode Island",,1284,95,,257,,62,,75,,90,,6,,44,,,,,1206,49,0,54375,44,7,15600,,,,,,,2019
8,"Census Tract 164, Providence County, Rhode Island",49045.0,1963,263,6680.0,191,4145.0,207,6795.0,119,1975.0,180,5130.0,67,660.0,0,-666666666.0,,,,1868,77,0,37566,44,7,16400,24.984717269485483,23.84361233480176,26.901840490797547,23.441295546558706,,,2019
9,"Census Tract 166, Providence County, Rhode Island",,948,162,,95,,102,,20,,24,,26,,0,,,,,900,29,0,52907,44,7,16600,,,,,,,2019
