,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
0,ZCTA5 02904,310085.0,13345,2107,40700.0,1945,42390.0,1405,36215.0,577,10070.0,788,17395.0,104,4380.0,361,6435.0,273575.0,29815.0,3840.0,12372,447,188,44269,13789,12591,2140,12591,5964,6627,30613,19801,5832,68,696,1375,20689,6865,326,999,216,44,2904,23.236043461970777,20.505923000987167,23.352674066599395,24.411434977578477,22.112431296475915,66.70022371364654,89.72369279860759,3.241714410036986,16.996267174966246,488.3644859813084,52.632832975935194,47.36716702406481,64.68167118544409,35.318328814555905,2019
1,ZCTA5 02909,404440.0,17372,2450,56790.0,1752,35670.0,3222,70965.0,632,13395.0,1447,28605.0,594,9345.0,557,12240.0,,,,15396,792,261,42041,18113,14167,2622,14167,4571,9596,40809,19409,6272,504,1819,1686,20262,7146,1074,2160,232,44,2909,23.281142067695143,22.003807710613994,21.888946549039957,18.593826555609994,,,84.99972395517031,4.372550102136587,18.507799816474908,440.31273836765826,67.73487682642761,32.265123173572384,47.560587125389006,52.439412874610994,2019
2,ZCTA5 02917,135890.0,6293,999,24120.0,932,17420.0,500,10775.0,304,6560.0,406,6055.0,262,4680.0,71,790.0,,,,5592,10,77,83516,6528,4687,255,4687,3624,1063,14139,12920,306,13,509,289,13185,399,87,572,38,44,2917,21.593834419195932,21.512169860176076,21.56094527363184,16.070359281437124,,,85.66176470588235,0.15318627450980393,5.44058032856838,1738.0392156862745,22.679752506934072,77.32024749306593,91.37845675083103,8.621543249168965,2019
3,ZCTA5 02802,,350,26,,15,,63,,0,,19,,76,,29,,9755.0,-666666666.0,-666666666.0,350,0,0,69321,350,253,12,253,74,179,723,620,0,0,0,0,620,0,0,0,0,44,2802,,,,,27.87142857142857,-inf,100.0,0.0,4.743083003952568,2008.3333333333333,70.7509881422925,29.249011857707508,85.75380359612724,14.246196403872752,2019
4,ZCTA5 02826,,254,61,,44,,0,,0,,0,,0,,0,,,,,222,0,0,91964,254,178,30,178,155,23,418,418,0,0,0,0,418,0,0,0,0,44,2826,,,,,,,87.4015748031496,0.0,16.853932584269664,493.33333333333337,12.921348314606742,87.07865168539325,100.0,0.0,2019
5,ZCTA5 02841,,894,157,,51,,65,,0,,10,,0,,0,,,,,160,0,71,-666666666,1565,0,0,0,0,0,1633,1297,143,0,73,91,1388,176,25,106,0,44,2841,,,,,,,10.223642172523961,0.0,,,,,79.42437232088182,20.57562767911819,2019
6,ZCTA5 02872,,70,21,,14,,16,,0,,0,,0,,0,,825.0,-666666666.0,-666666666.0,70,0,0,-666666666,103,132,46,132,116,16,244,244,0,0,0,0,244,0,0,0,0,44,2872,,,,,11.785714285714286,-inf,67.96116504854369,0.0,34.84848484848485,186.95652173913044,12.121212121212121,87.87878787878788,100.0,0.0,2019
7,ZCTA5 02873,,159,0,,36,,37,,0,,0,,0,,0,,5125.0,-666666666.0,-666666666.0,159,0,0,108750,159,106,0,106,106,0,200,200,0,0,0,0,200,0,0,0,0,44,2873,,,,,32.23270440251572,-inf,100.0,0.0,0.0,inf,0.0,100.0,100.0,0.0,2019
8,ZCTA5 02876,,148,0,,0,,63,,0,,25,,0,,16,,4725.0,-666666666.0,-666666666.0,148,0,0,-666666666,148,219,0,219,84,135,353,330,0,0,0,23,353,23,0,0,0,44,2876,,,,,31.925675675675677,-inf,100.0,0.0,0.0,inf,61.64383561643836,38.35616438356164,93.48441926345609,6.515580736543909,2019
9,ZCTA5 02912,,459,12,,3,,21,,23,,15,,33,,2,,,,,140,13,11,-666666666,539,0,0,0,0,0,1340,957,73,0,211,64,1004,104,18,230,4,44,2912,,,,,,,25.97402597402597,2.411873840445269,,,,,71.41791044776119,28.582089552238806,2019
