"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","zip code tabulation area"
"ZCTA5 02840","239025","11721","1469","39525","1509","31910","1667","28595","808","11025","1249","17550","443","9365","172","2925","","","","9280","342","339","57275","12355","10728","1845","10728","4441","6287","23171","19458","1454","104","165","1146","20295","2312","538","207","0","44","02840"
"ZCTA5 02836","","76","15","","17","","0","","0","","0","","0","","0","","1610","-666666666","-666666666","76","0","0","","76","44","17","44","44","0","93","93","0","0","0","0","93","0","0","0","0","44","02836"
"ZCTA5 02837","43540","1477","288","7015","164","4045","210","5615","66","2115","105","1380","56","820","25","630","","","","1358","9","26","78370","1782","1640","53","1640","1289","351","3504","3407","38","0","12","32","3439","65","0","17","0","44","02837"
"ZCTA5 02858","","421","187","","73","","30","","0","","0","","0","","0","","","","","421","0","0","90583","437","235","0","235","128","107","662","662","0","0","0","0","662","0","0","0","0","44","02858"
"ZCTA5 02882","181710","6843","827","23725","688","19410","1231","29210","519","12955","538","10810","307","6960","144","2975","","","","6575","76","39","61827","7105","6316","258","6316","4175","2141","13448","13053","62","12","51","146","13169","90","36","99","83","44","02882"
"ZCTA5 02891","219435","10024","1270","31920","1078","21420","1348","22395","893","17220","617","10170","247","4805","178","2250","","","","9593","103","12","61375","10419","9163","641","9163","5715","3448","21415","20168","164","162","573","290","20445","263","266","664","0","44","02891"
"ZCTA5 02842","139405","7671","1007","16815","734","9380","1074","16310","591","8970","720","12010","215","2645","101","815","","","","7194","138","59","64397","7994","6414","264","6414","3405","3009","16052","13168","937","45","666","904","13979","1333","391","1033","99","44","02842"
"ZCTA5 02861","291160","12444","1412","34125","1968","41330","1250","29175","557","10900","563","11460","249","4850","122","1740","271630","11760","2025","11792","254","37","54700","12740","10058","644","10058","6234","3824","26225","20715","2425","52","442","843","21319","2960","232","564","77","44","02861"
"ZCTA5 02906","292210","14026","1321","29330","1547","38160","2648","55775","1508","28890","2325","41545","726","10675","288","4240","192120","54480","8115","9258","1112","120","71927","15142","10914","1209","10914","5224","5690","28648","22327","1674","65","2962","744","22844","1982","152","3380","142","44","02906"
"ZCTA5 02905","221250","10067","1251","33995","1391","26855","1130","17895","644","10090","801","13485","462","8495","118","1530","168010","40535","7720","8095","996","240","37692","10469","8610","1253","8610","3998","4612","25635","13636","4710","211","1299","1239","14360","5563","481","1417","86","44","02905"
"ZCTA5 02806","197545","7375","1362","35725","1258","36590","1238","31505","709","14845","585","12780","206","3810","56","1140","182755","13440","780","7005","225","0","108776","7916","6235","225","6235","5499","736","16280","15329","127","0","425","398","15722","200","102","653","0","44","02806"
